run_id;strategy_id;cagr;spy_cagr;excess_cagr;max_drawdown;calmar;trades;years_beating_spy;years_losing_to_spy;decision;consistency_decision;constraint_gap_score;rejection_reason;rank_under_constraint
DD20CONSIST_HYP_DD20_SPY_DYN_70_45_25_0_V1_2;HYP_DD20_SPY_DYN_70_45_25_0_V1;10,795396;6,802475;3,992922;-24,8247;0,434865;2362;16;12;rejected;rejected;48,459667;"insufficient_trades:2362<3000; max_drawdown_breaches_dd20:-24.824700<-20.000000";
DD20CONSIST_HYP_DD20_SPY_DYN_75_45_25_0_V1_2;HYP_DD20_SPY_DYN_75_45_25_0_V1;11,39962;6,802475;4,597146;-25,944991;0,439377;2353;16;12;rejected;rejected;59,665577;"insufficient_trades:2353<3000; max_drawdown_breaches_dd20:-25.944991<-20.000000";
DD20CONSIST_HYP_DD20_SPY_DYN_80_45_25_0_V1_2;HYP_DD20_SPY_DYN_80_45_25_0_V1;11,997407;6,802475;5,194932;-27,063377;0,443308;2343;17;11;rejected;rejected;70,85277;"insufficient_trades:2343<3000; max_drawdown_breaches_dd20:-27.063377<-20.000000";
DD20CONSIST_HYP_DD20_SPY_DYN_65_50_25_0_V1_2;HYP_DD20_SPY_DYN_65_50_25_0_V1;10,426381;6,802475;3,623906;-24,534503;0,424968;2377;16;12;rejected;rejected;45,552697;"insufficient_trades:2377<3000; max_drawdown_breaches_dd20:-24.534503<-20.000000";
DD20CONSIST_HYP_DD20_SPY_DYN_70_50_25_0_V1_2;HYP_DD20_SPY_DYN_70_50_25_0_V1;11,035833;6,802475;4,233358;-25,644466;0,43034;2363;16;12;rejected;rejected;56,656993;"insufficient_trades:2363<3000; max_drawdown_breaches_dd20:-25.644466<-20.000000";
DD20CONSIST_HYP_DD20_SPY_DYN_70_50_20_0_V1_2;HYP_DD20_SPY_DYN_70_50_20_0_V1;11,078421;6,802475;4,275946;-25,644466;0,432;2362;16;12;rejected;rejected;56,657327;"insufficient_trades:2362<3000; max_drawdown_breaches_dd20:-25.644466<-20.000000";
DD20CONSIST_HYP_DD20_SPY_DYN_70_45_25_0_PARTIAL_25_33_V1_2;HYP_DD20_SPY_DYN_70_45_25_0_PARTIAL_25_33_V1;10,707516;6,802475;3,905042;-24,8247;0,431325;2492;16;12;rejected;rejected;48,416333;"insufficient_trades:2492<3000; max_drawdown_breaches_dd20:-24.824700<-20.000000";
DD20CONSIST_HYP_DD20_SPY_DYN_75_45_25_0_PARTIAL_25_33_V1_2;HYP_DD20_SPY_DYN_75_45_25_0_PARTIAL_25_33_V1;11,303729;6,802475;4,501254;-25,944991;0,435681;2480;16;12;rejected;rejected;59,623243;"insufficient_trades:2480<3000; max_drawdown_breaches_dd20:-25.944991<-20.000000";
DD20CONSIST_HYP_DD20_SPY_DYN_75_50_25_0_EQUITY_GUARD_18_10_V1_2;HYP_DD20_SPY_DYN_75_50_25_0_EQUITY_GUARD_18_10_V1;7,75595;6,802475;0,953476;-18,677044;0,415266;1709;13;15;rejected;rejected;2,430333;"insufficient_trades:1709<3000; loses_more_years_than_beats:13<15";
DD20CONSIST_HYP_DD20_SPY_DYN_80_50_20_0_EQUITY_GUARD_18_10_V1_2;HYP_DD20_SPY_DYN_80_50_20_0_EQUITY_GUARD_18_10_V1;8,204287;6,802475;1,401812;-19,905192;0,412168;1699;14;14;rejected;rejected;0,433667;insufficient_trades:1699<3000;
