run_id;strategy_id;cagr;spy_cagr;excess_cagr;max_drawdown;calmar;trades;years_beating_spy;years_losing_to_spy;stop_loss_pct;trailing_stop_pct;trailing_activation_gain_pct;stop_loss_exit_count;trailing_exit_count;breakeven_exit_count;profit_lock_exit_count;partial_exit_count;rank_exit_count;decision;rejection_reason
DD20STOPTRAIL_HYP_DD20_STOP_DYN8050200_GUARD1810_SL10_V1;HYP_DD20_STOP_DYN8050200_GUARD1810_SL10_V1;9,675868;6,802475;2,873394;-19,325183;0,500687;2345;17;11;10;;;423;0;0;0;0;0;near_valid_useful;insufficient_trades:2345<3000
DD20STOPTRAIL_HYP_DD20_STOP_DYN8050200_GUARD1810_SL12_V1;HYP_DD20_STOP_DYN8050200_GUARD1810_SL12_V1;6,918508;6,802475;0,116033;-19,540517;0,35406;1729;12;16;12;;;250;0;0;0;0;0;rejected;"insufficient_trades:1729<3000; loses_more_years_than_beats:12<16"
DD20STOPTRAIL_HYP_DD20_STOP_DYN8050200_GUARD1810_SL15_V1;HYP_DD20_STOP_DYN8050200_GUARD1810_SL15_V1;7,200479;6,802475;0,398004;-20,773255;0,346623;1725;14;14;15;;;175;0;0;0;0;0;rejected;"insufficient_trades:1725<3000; max_drawdown_breaches_dd20:-20.773255<-20.000000"
DD20STOPTRAIL_HYP_DD20_TRAIL_DYN8050200_GUARD1810_TR15_ACT10_V1;HYP_DD20_TRAIL_DYN8050200_GUARD1810_TR15_ACT10_V1;5,784462;6,802475;-1,018013;-18,66882;0,309846;1757;12;16;;15;10;0;287;0;0;0;0;rejected;"insufficient_trades:1757<3000; does_not_beat_spy_cagr:5.784462<=6.802475; loses_more_years_than_beats:12<16"
DD20STOPTRAIL_HYP_DD20_TRAIL_DYN8050200_GUARD1810_TR18_ACT10_V1;HYP_DD20_TRAIL_DYN8050200_GUARD1810_TR18_ACT10_V1;1,591486;6,802475;-5,210989;-19,886031;0,08003;313;9;19;;18;10;0;77;0;0;0;0;rejected;"insufficient_trades:313<3000; does_not_beat_spy_cagr:1.591486<=6.802475; loses_more_years_than_beats:9<19"
DD20STOPTRAIL_HYP_DD20_TRAIL_DYN8050200_GUARD1810_TR20_ACT15_V1;HYP_DD20_TRAIL_DYN8050200_GUARD1810_TR20_ACT15_V1;1,916251;6,802475;-4,886224;-18,931854;0,101218;308;9;19;;20;15;0;63;0;0;0;0;rejected;"insufficient_trades:308<3000; does_not_beat_spy_cagr:1.916251<=6.802475; loses_more_years_than_beats:9<19"
DD20STOPTRAIL_HYP_DD20_STOPTRAIL_DYN8050200_GUARD1810_SL12_TR18_ACT10_V1;HYP_DD20_STOPTRAIL_DYN8050200_GUARD1810_SL12_TR18_ACT10_V1;0,090526;6,802475;-6,711949;-19,487662;0,004645;99;8;20;12;18;10;33;39;0;0;0;0;rejected;"insufficient_trades:99<3000; does_not_beat_spy_cagr:0.090526<=6.802475; loses_more_years_than_beats:8<20"
DD20STOPTRAIL_HYP_DD20_STOPTRAIL_DYN8050200_GUARD1810_SL15_TR18_ACT10_V1;HYP_DD20_STOPTRAIL_DYN8050200_GUARD1810_SL15_TR18_ACT10_V1;0,171931;6,802475;-6,630544;-19,674526;0,008739;99;8;20;15;18;10;27;42;0;0;0;0;rejected;"insufficient_trades:99<3000; does_not_beat_spy_cagr:0.171931<=6.802475; loses_more_years_than_beats:8<20"
DD20STOPTRAIL_HYP_DD20_STOPTRAIL_DYN8050200_GUARD18_12_SL12_TR18_ACT10_V1;HYP_DD20_STOPTRAIL_DYN8050200_GUARD18_12_SL12_TR18_ACT10_V1;0,090526;6,802475;-6,711949;-19,487662;0,004645;99;8;20;12;18;10;33;39;0;0;0;0;rejected;"insufficient_trades:99<3000; does_not_beat_spy_cagr:0.090526<=6.802475; loses_more_years_than_beats:8<20"
DD20STOPTRAIL_HYP_DD20_STOPTRAIL_DYN8050200_NO_GUARD_SL12_TR18_ACT10_V1;HYP_DD20_STOPTRAIL_DYN8050200_NO_GUARD_SL12_TR18_ACT10_V1;8,142017;6,802475;1,339542;-22,927612;0,355118;2469;13;15;12;18;10;324;303;0;0;0;0;rejected;"insufficient_trades:2469<3000; max_drawdown_breaches_dd20:-22.927612<-20.000000; loses_more_years_than_beats:13<15"
