run_id;strategy_id;cagr;spy_cagr;max_drawdown;trades;years_wl;calmar;compared_to;cagr_delta;dd_delta;calmar_delta;years_net_delta;substantial_reason;followup_allowed
DD20ADAPT_108_HYP_DD20_CAGR_DYN8555200_SL11_TOPN10_V1;HYP_DD20_CAGR_DYN8555200_SL11_TOPN10_V1;11,133843;6,802475;-20,77616;2314;16/12;0,535895;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;0,267796;-0,988427;-0,013235;2;small_incremental_change;False
DD20ADAPT_106_HYP_DD20_CAGR_DYN8550200_SL11_TOPN8_V1;HYP_DD20_CAGR_DYN8550200_SL11_TOPN8_V1;11,106131;6,802475;-20,77616;2319;16/12;0,534561;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;0,240084;-0,988427;-0,014569;2;small_incremental_change;False
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;10,866047;6,802475;-19,787733;2351;15/13;0,54913;HYP_DD20_CAGR_SL12_TOPN10_GUARD18_10_V1;0,09054;0,0;0,004575;0;new_real_pareto;True
DD20ADAPT_108_HYP_DD20_CAGR_SL12_TOPN12_GUARD18_12_V1;HYP_DD20_CAGR_SL12_TOPN12_GUARD18_12_V1;10,835402;6,802475;-20,054206;2371;15/13;0,540306;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,030645;-0,266473;-0,008824;0;small_incremental_change;False
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN10_GUARD18_10_V1;HYP_DD20_CAGR_SL12_TOPN10_GUARD18_10_V1;10,775507;6,802475;-19,787733;2359;15/13;0,544555;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,09054;0,0;-0,004575;0;small_incremental_change;False
DD20ADAPT_106_HYP_DD20_CAGR_DYN8055200_SL11_TOPN8_V1;HYP_DD20_CAGR_DYN8055200_SL11_TOPN8_V1;10,735004;6,802475;-19,658782;2353;16/12;0,546067;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,131043;0,128951;-0,003063;2;years_net_improved_ge_2_dd20;True
DD20ADAPT_006_HYP_DD20_EXP_DYN8550200_SL10_TOPN5_V1;HYP_DD20_EXP_DYN8550200_SL10_TOPN5_V1;10,546561;6,802475;-20,424879;2338;17/11;0,516359;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,319486;-0,637146;-0,032771;4;small_incremental_change;False
DD20ADAPT_123_HYP_DD20_RESCUE_DYN8050200_NO_NEW_CRISIS_SL11_TOPN8_V1;HYP_DD20_RESCUE_DYN8050200_NO_NEW_CRISIS_SL11_TOPN8_V1;10,541152;6,802475;-19,658782;2354;16/12;0,536206;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,324895;0,128951;-0,012924;2;years_net_improved_ge_2_dd20;True
DD20ADAPT_005_HYP_DD20_EXP_SL11_TOPN8_WHEN_GUARD_V1;HYP_DD20_EXP_SL11_TOPN8_WHEN_GUARD_V1;10,541152;6,802475;-19,658782;2354;16/12;0,536206;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,324895;0,128951;-0,012924;2;years_net_improved_ge_2_dd20;True
DD20ADAPT_106_HYP_DD20_CAGR_DYN8050250_SL11_TOPN8_V1;HYP_DD20_CAGR_DYN8050250_SL11_TOPN8_V1;10,534843;6,802475;-19,658782;2354;16/12;0,535885;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,331204;0,128951;-0,013245;2;years_net_improved_ge_2_dd20;True
DD20ADAPT_105_HYP_DD20_CAGR_SL11_TOPN8_GUARD18_12_V1;HYP_DD20_CAGR_SL11_TOPN8_GUARD18_12_V1;10,440193;6,802475;-19,658782;2376;16/12;0,53107;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,425854;0,128951;-0,01806;2;years_net_improved_ge_2_dd20;True
DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1;HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1;10,427723;6,802475;-19,325183;2387;17/11;0,539592;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,438324;0,46255;-0,009538;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_105_HYP_DD20_CAGR_SL11_TOPN10_GUARD18_10_V1;HYP_DD20_CAGR_SL11_TOPN10_GUARD18_10_V1;10,386357;6,802475;-19,658782;2362;16/12;0,528332;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,47969;0,128951;-0,020798;2;years_net_improved_ge_2_dd20;True
DD20ADAPT_106_HYP_DD20_CAGR_SL11_TOPN8_GUARD18_14_V1;HYP_DD20_CAGR_SL11_TOPN8_GUARD18_14_V1;10,349433;6,802475;-19,658782;2369;16/12;0,526453;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,516614;0,128951;-0,022677;2;years_net_improved_ge_2_dd20;True
DD20ADAPT_003_HYP_DD20_EXP_SL10_TOPN3_WHEN_GUARD_V1;HYP_DD20_EXP_SL10_TOPN3_WHEN_GUARD_V1;10,32712;6,802475;-19,325183;2379;17/11;0,534387;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,538927;0,46255;-0,014743;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_005_HYP_DD20_EXP_DYN8055200_SL10_TOPN5_V1;HYP_DD20_EXP_DYN8055200_SL10_TOPN5_V1;10,313057;6,802475;-19,325183;2366;17/11;0,533659;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,55299;0,46255;-0,015471;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_106_HYP_DD20_CAGR_SL11_TOPN8_GUARD19_12_V1;HYP_DD20_CAGR_SL11_TOPN8_GUARD19_12_V1;10,293821;6,802475;-19,76182;2380;16/12;0,520894;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,572226;0,025913;-0,028236;2;years_net_improved_ge_2_dd20;True
DD20ADAPT_105_HYP_DD20_CAGR_SL10P5_TOPN8_GUARD18_10_V1;HYP_DD20_CAGR_SL10P5_TOPN8_GUARD18_10_V1;10,259259;6,802475;-19,192929;2370;16/12;0,534533;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,606788;0,594804;-0,014597;2;years_net_improved_ge_2_dd20;True
DD20ADAPT_003_HYP_DD20_EXP_SL10_TOPN10_WHEN_GUARD_V1;HYP_DD20_EXP_SL10_TOPN10_WHEN_GUARD_V1;10,240927;6,802475;-19,325183;2393;17/11;0,529927;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,62512;0,46255;-0,019203;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_003_HYP_DD20_EXP_SL10_TOPN8_WHEN_GUARD_V1;HYP_DD20_EXP_SL10_TOPN8_WHEN_GUARD_V1;10,240927;6,802475;-19,325183;2393;17/11;0,529927;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,62512;0,46255;-0,019203;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_001_HYP_DD20_ADAPT_SL10_TOPN5_WHEN_GUARD_V1;HYP_DD20_ADAPT_SL10_TOPN5_WHEN_GUARD_V1;10,240538;6,802475;-19,325183;2388;17/11;0,529906;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,625509;0,46255;-0,019224;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_006_HYP_DD20_EXP_DYN8050250_SL10_TOPN5_V1;HYP_DD20_EXP_DYN8050250_SL10_TOPN5_V1;10,17366;6,802475;-19,325183;2388;17/11;0,526446;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,692387;0,46255;-0,022684;4;years_net_improved_ge_2_dd20;True
