run_id;strategy_id;hypothesis_id;parent_run_id;parent_strategy_id;decision;dd_first_decision;strategy_cagr_pct;spy_cagr_pct;excess_cagr_pct;strategy_max_drawdown_pct;spy_max_drawdown_pct;parent_max_drawdown_pct;drawdown_improvement_vs_parent_pct;drawdown_improvement_vs_spy_pct;calmar_ratio;parent_calmar_ratio;years_beating_spy;years_losing_to_spy;months_beating_spy;months_losing_to_spy;trades;dd_first_score;value_delivered;rejection_reason;dd_first_rejection_reason;next_action
DD_FIRST_01_HYP_DD_FIRST_AUTO002_EXPOSURE_75_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_75_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_75_V1;RETEST_HYP_AUTO_TIME_SERIES_MOMENTUM_SEED_1999_2026_20260524_174409;HYP_AUTO_TIME_SERIES_MOMENTUM_SEED;accepted_for_followup;accepted_for_followup;19,640769;6,802475;12,838294;-44,052781;-56,473669;-54,644063;19,382311;21,994124;0,445846;0,474512;22;6;205;124;3796;102,605516;dd_first_followup_signal;;;expand_same_axis_once
DD_FIRST_01_HYP_DD_FIRST_AUTO002_SPY_REGIME_EXPOSURE_V1;HYP_DD_FIRST_AUTO002_SPY_REGIME_EXPOSURE_V1;HYP_DD_FIRST_AUTO002_SPY_REGIME_EXPOSURE_V1;RETEST_HYP_AUTO_TIME_SERIES_MOMENTUM_SEED_1999_2026_20260524_174409;HYP_AUTO_TIME_SERIES_MOMENTUM_SEED;rejected;rejected;0,0;6,802475;-6,802475;0,0;-56,473669;-54,644063;100,0;100,0;0,0;0,474512;8;20;131;198;0;404,848024;defensive_learning;"insufficient_trades:0<3000; drawdown_reduction_killed_trade_sample";"insufficient_trades:0<3000; drawdown_reduction_killed_trade_sample";relax_filter_or_increase_breadth
DD_FIRST_02_HYP_DD_FIRST_AUTO002_EXPOSURE_50_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_50_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_50_V1;RETEST_HYP_AUTO_TIME_SERIES_MOMENTUM_SEED_1999_2026_20260524_174409;HYP_AUTO_TIME_SERIES_MOMENTUM_SEED;accepted_for_followup;accepted_for_followup;13,183145;6,802475;6,38067;-31,549424;-56,473669;-54,644063;42,263766;44,134276;0,417857;0,474512;20;8;188;141;3847;186,718066;dd_first_followup_signal;;;expand_same_axis_once
DD_FIRST_02_HYP_DD_FIRST_AUTO002_QUALITY_LOWVOL_RANK_V1;HYP_DD_FIRST_AUTO002_QUALITY_LOWVOL_RANK_V1;HYP_DD_FIRST_AUTO002_QUALITY_LOWVOL_RANK_V1;RETEST_HYP_AUTO_TIME_SERIES_MOMENTUM_SEED_1999_2026_20260524_174409;HYP_AUTO_TIME_SERIES_MOMENTUM_SEED;rejected;rejected;14,038741;6,802475;7,236266;-76,787243;-56,473669;-54,644063;-40,522572;-35,969991;0,182826;0,474512;21;7;188;141;3203;18,661076;return_signal_without_dd_improvement;worse_drawdown_than_parent;worse_drawdown_than_parent;try_more_defensive_axis
DD_FIRST_03_HYP_DD_FIRST_AUTO002_EXPOSURE_85_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_85_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_85_V1;RETEST_HYP_AUTO_TIME_SERIES_MOMENTUM_SEED_1999_2026_20260524_174409;HYP_AUTO_TIME_SERIES_MOMENTUM_SEED;accepted_for_followup;accepted_for_followup;22,183311;6,802475;15,380836;-48,517761;-56,473669;-54,644063;11,211286;14,087819;0,45722;0,474512;23;5;205;124;3767;72,811433;dd_first_followup_signal;;;expand_same_axis_once
DD_FIRST_03_HYP_DD_FIRST_AUTO002_TRAILING_18_TOPN_9_V1;HYP_DD_FIRST_AUTO002_TRAILING_18_TOPN_9_V1;HYP_DD_FIRST_AUTO002_TRAILING_18_TOPN_9_V1;RETEST_HYP_AUTO_TIME_SERIES_MOMENTUM_SEED_1999_2026_20260524_174409;HYP_AUTO_TIME_SERIES_MOMENTUM_SEED;rejected;rejected;23,681881;6,802475;16,879406;-57,882834;-56,473669;-54,644063;-5,927033;-2,49526;0,409135;0,474512;20;8;189;140;2408;27,697271;return_signal_without_dd_improvement;"insufficient_trades:2408<3000; worse_drawdown_than_parent; drawdown_reduction_killed_trade_sample";"insufficient_trades:2408<3000; worse_drawdown_than_parent; drawdown_reduction_killed_trade_sample";try_more_defensive_axis
DD_FIRST_04_HYP_DD_FIRST_AUTO002_SOFT_SPY_TOPN_8_V1;HYP_DD_FIRST_AUTO002_SOFT_SPY_TOPN_8_V1;HYP_DD_FIRST_AUTO002_SOFT_SPY_TOPN_8_V1;RETEST_HYP_AUTO_TIME_SERIES_MOMENTUM_SEED_1999_2026_20260524_174409;HYP_AUTO_TIME_SERIES_MOMENTUM_SEED;rejected;rejected;25,929269;6,802475;19,126795;-54,644063;-56,473669;-54,644063;0,0;3,239751;0,474512;0,474512;22;6;207;122;3706;31,365168;return_signal_without_dd_improvement;"metric_no_effect; duplicate_artifact";"metric_no_effect; duplicate_artifact";generate_new_axis
DD_FIRST_05_HYP_DD_FIRST_AUTO002_SOFT_SPY_TOPN_5_V1;HYP_DD_FIRST_AUTO002_SOFT_SPY_TOPN_5_V1;HYP_DD_FIRST_AUTO002_SOFT_SPY_TOPN_5_V1;RETEST_HYP_AUTO_TIME_SERIES_MOMENTUM_SEED_1999_2026_20260524_174409;HYP_AUTO_TIME_SERIES_MOMENTUM_SEED;rejected;rejected;25,929269;6,802475;19,126795;-54,644063;-56,473669;-54,644063;0,0;3,239751;0,474512;0,474512;22;6;207;122;3706;31,365168;return_signal_without_dd_improvement;"metric_no_effect; duplicate_artifact";"metric_no_effect; duplicate_artifact";generate_new_axis
DD_FIRST_06_HYP_DD_FIRST_AUTO002_ANTI_EXTENSION_SMA52_80_V1;HYP_DD_FIRST_AUTO002_ANTI_EXTENSION_SMA52_80_V1;HYP_DD_FIRST_AUTO002_ANTI_EXTENSION_SMA52_80_V1;RETEST_HYP_AUTO_TIME_SERIES_MOMENTUM_SEED_1999_2026_20260524_174409;HYP_AUTO_TIME_SERIES_MOMENTUM_SEED;rejected;rejected;22,846647;6,802475;16,044173;-58,361365;-56,473669;-54,644063;-6,802757;-3,342613;0,391469;0,474512;22;6;203;126;3772;28,243755;return_signal_without_dd_improvement;worse_drawdown_than_parent;worse_drawdown_than_parent;try_more_defensive_axis
DD_FIRST_07_HYP_DD_FIRST_AUTO002_DD_PROXY_26W_V1;HYP_DD_FIRST_AUTO002_DD_PROXY_26W_V1;HYP_DD_FIRST_AUTO002_DD_PROXY_26W_V1;RETEST_HYP_AUTO_TIME_SERIES_MOMENTUM_SEED_1999_2026_20260524_174409;HYP_AUTO_TIME_SERIES_MOMENTUM_SEED;rejected;rejected;25,929269;6,802475;19,126795;-54,644063;-56,473669;-54,644063;0,0;3,239751;0,474512;0,474512;22;6;207;122;3706;31,365168;return_signal_without_dd_improvement;"metric_no_effect; duplicate_artifact";"metric_no_effect; duplicate_artifact";generate_new_axis
