ticker,signal_date,entry_date,exit_date,holding_days,entry_reason,exit_reason,entry_rank,entry_ranking_value,shares,entry_price,exit_price,notional_entry,notional_exit,entry_cost,exit_cost,max_price_since_entry,drawdown_from_peak_pct,gross_return_pct,net_return_pct
CTSH,2000-01-28,2000-01-31,2000-02-28,28,enter_or_hold,rebalance_trim,3,119.76043929611296,40.605487431265125,1.5677080154418943,2.2486979961395264,63.657548116919436,91.30947821895461,0.15277811548060663,0.21914274772549105,1.5677080154418943,43.43857236104513,43.43857236104513,42.958572361045135
SWKS,2000-01-28,2000-01-31,2000-02-28,28,enter_or_hold,rebalance_trim,5,87.90976201538383,8.886676845101173,41.875,74.421875,372.1295928886116,661.3631533315138,0.8931110229326679,1.5872715679956328,41.875,77.72388059701491,77.72388059701491,77.24388059701491
VRSN,2000-01-28,2000-01-31,2000-02-28,28,enter_or_hold,rebalance_trim,1,158.38478823240618,0.981935528477956,161.375,246.0625,158.45984590813015,241.61751097610704,0.38030363017951235,0.5798820263426568,161.375,52.478698683191325,52.478698683191325,51.99869868319133
BIIB,2000-01-28,2000-01-31,2000-04-03,63,enter_or_hold,left_top_n,5,134.9648636374304,43.26047158385951,42.27276529581702,31.375,1828.7397618508546,1357.2972959435922,4.388975428442051,3.257513510264621,42.0625,-25.40861812778603,-25.77963665153312,-26.25963665153312
SWKS,2000-01-28,2000-01-31,2000-04-03,63,enter_or_hold,left_top_n,5,87.90976201538383,30.819024496554476,41.875,46.1875,1290.5466507932188,1423.4536939346099,3.0973119619037246,3.416288865443063,41.875,10.298507462686569,10.298507462686569,9.818507462686568
VRSN,2000-01-28,2000-01-31,2000-04-03,63,enter_or_hold,left_top_n,1,158.38478823240618,9.32124801099117,161.375,116.625,1504.2163977737002,1087.0905492818451,3.6101193546568804,2.609017318276428,161.375,-27.73044151820294,-27.73044151820294,-28.21044151820294
CTSH,2000-01-28,2000-01-31,2000-04-03,63,enter_or_hold,rebalance_trim,3,119.76043929611296,1019.9722651250149,1.5677080154418943,2.25,1599.0186955649108,2294.937596531284,3.837644869355786,5.50785023167508,1.5677080154418943,43.521623786926035,43.521623786926035,43.04162378692604
GLW,2000-01-28,2000-01-31,2000-04-03,63,enter_or_hold,rebalance_trim,6,119.81206951778636,34.18265954687074,51.87554246115584,60.3125,1773.2440067589268,2061.6416539206416,4.2557856162214245,4.947939969409539,51.41666793823242,17.301455770051575,16.263844460347986,15.783844460347986
REGN,2000-02-25,2000-02-28,2000-04-03,35,enter_or_hold,rebalance_trim,1,380.0553406911298,15.798286878547424,45.125,28.5,712.8976953944525,450.2511760386016,1.7109544689466858,1.0806028224926438,45.125,-36.8421052631579,-36.8421052631579,-37.322105263157894
TECH,2000-01-28,2000-01-31,2000-04-05,65,enter_or_hold,portfolio_guard_crisis,6,78.68751320429965,213.24905730588605,7.796875,8.640625,1662.6762436818303,1842.6051357836716,3.9904229848363926,4.4222523258808115,7.796875,10.821643286573156,10.821643286573156,10.341643286573156
AMD,2000-05-26,2000-05-30,2000-05-31,1,enter_or_hold,portfolio_guard_crisis,3,106.3132497821862,40.56943814067479,43.0,40.875,1744.4858400490161,1658.275784000082,4.186766016117638,3.9798618816001965,43.0,-4.941860465116276,-4.941860465116276,-5.421860465116277
COHR,2000-05-26,2000-05-30,2000-05-31,1,enter_or_hold,portfolio_guard_crisis,6,65.46534033464904,362.49056416602934,4.8125,4.828125,1744.4858400490161,1750.1497551141103,4.186766016117638,4.200359412273865,4.8125,0.32467532467532756,0.32467532467532756,-0.15532467532467242
DGX,2000-05-26,2000-05-30,2000-05-31,1,enter_or_hold,portfolio_guard_crisis,2,109.7460340044106,101.86778628023451,17.125,16.78125,1744.4858400490161,1709.4687885151855,4.186766016117638,4.102725092436445,17.125,-2.007299270072993,-2.007299270072993,-2.487299270072993
NVDA,2000-05-26,2000-05-30,2000-05-31,1,enter_or_hold,portfolio_guard_crisis,1,130.5756716684075,7620.970167718955,0.2289060056209564,0.2377600073814392,1744.4858400490161,1811.9619233305868,4.186766016117638,4.348708615993408,0.2289060056209564,3.8679639428701007,3.8679639428701007,3.3879639428701007
PWR,2000-05-26,2000-05-30,2000-05-31,1,enter_or_hold,portfolio_guard_crisis,5,70.48273437243557,36.72601768524245,47.5,49.0,1744.4858400490161,1799.57486657688,4.186766016117638,4.318979679784511,47.5,3.157894736842115,3.157894736842115,2.677894736842115
TRMB,2000-05-26,2000-05-30,2000-05-31,1,enter_or_hold,portfolio_guard_crisis,4,105.44755985530364,231.6329746123175,7.53125,7.3645830154418945,1744.4858400490161,1705.880270646157,4.186766016117638,4.094112649550777,7.53125,-2.213005604091023,-2.213005604091023,-2.693005604091023
DGX,2000-06-30,2000-07-03,2000-07-05,2,enter_or_hold,portfolio_guard_crisis,5,97.71108850457784,93.4038612297444,18.53125,18.953125,1730.8903034137008,1770.2950573699993,4.154136728192881,4.248708137687998,18.53125,2.276559865092742,2.276559865092742,1.7965598650927421
GLW,2000-06-30,2000-07-03,2000-07-05,2,enter_or_hold,portfolio_guard_crisis,6,97.10066962056024,18.986000201436156,91.16666412353516,85.875,1730.8903034137008,1630.4227672983297,4.154136728192881,3.913014641515991,91.16666412353516,-5.804384940930496,-5.804384940930496,-6.2843849409304955
NVDA,2000-06-30,2000-07-03,2000-07-05,2,enter_or_hold,portfolio_guard_crisis,2,122.1854964497962,6796.1205055089395,0.2546879947185516,0.2273440062999725,1730.8903034137008,1545.0572630197967,4.154136728192881,3.7081374312475117,0.2546879947185516,-10.73626907652091,-10.73626907652091,-11.216269076520911
SBAC,2000-06-30,2000-07-03,2000-07-05,2,enter_or_hold,portfolio_guard_crisis,4,101.85920493296584,34.445578177387084,50.25,51.0,1730.8903034137008,1756.7244870467414,4.154136728192881,4.216138768912179,50.25,1.4925373134328401,1.4925373134328401,1.0125373134328401
TECH,2000-06-30,2000-07-03,2000-07-05,2,enter_or_hold,portfolio_guard_crisis,1,127.74840846442834,93.5616380223622,18.5,17.8125,1730.8903034137008,1666.5666772733268,4.154136728192881,3.999760025455984,18.5,-3.716216216216217,-3.716216216216217,-4.196216216216217
TRMB,2000-06-30,2000-07-03,2000-07-05,2,enter_or_hold,portfolio_guard_crisis,3,119.84518949428777,214.13076760627283,8.083333015441895,7.8125,1730.8903034137008,1672.8966219240065,4.154136728192881,4.014951892617615,8.083333015441895,-3.3505116630047516,-3.3505116630047516,-3.8305116630047515
DGX,2000-07-28,2000-07-31,2000-08-01,1,enter_or_hold,portfolio_guard_crisis,1,133.99710757592612,66.00702981927223,25.234375,26.4375,1665.6461430956977,1745.0608508470098,3.997550743429674,4.188146042032823,25.234375,4.767801857585141,4.767801857585141,4.287801857585141
GLW,2000-07-28,2000-07-31,2000-08-01,1,enter_or_hold,portfolio_guard_crisis,5,56.841279470767226,21.263567093867874,78.33333587646484,77.89583587646484,1665.6461430956977,1656.3433324921305,3.997550743429674,3.9752239979811126,78.33333587646484,-0.5585106201655421,-0.5585106201655421,-1.038510620165542
NVDA,2000-07-28,2000-07-31,2000-08-01,1,enter_or_hold,portfolio_guard_crisis,3,64.98838714265978,6662.584572382791,0.25,0.2450519949197769,1665.6461430956977,1632.6796407841314,3.997550743429674,3.9184311378819148,0.25,-1.9792020320892445,-1.9792020320892445,-2.4592020320892445
SBAC,2000-07-28,2000-07-31,2000-08-01,1,enter_or_hold,portfolio_guard_crisis,6,52.63888304806763,36.91182588577723,45.125,43.375,1665.6461430956977,1601.0504477955874,3.997550743429674,3.8425210747094094,45.125,-3.878116343490301,-3.878116343490301,-4.358116343490301
TECH,2000-07-28,2000-07-31,2000-08-01,1,enter_or_hold,portfolio_guard_crisis,2,65.96055682022835,133.4184645283162,12.484375,12.505859375,1665.6461430956977,1668.512555419548,3.997550743429674,4.004430133006915,12.484375,0.1720901126408103,0.1720901126408103,-0.30790988735918967
TRMB,2000-07-28,2000-07-31,2000-08-01,1,enter_or_hold,portfolio_guard_crisis,4,61.57380359405727,231.0723074984887,7.2083330154418945,6.3541669845581055,1665.6461430956977,1468.2720273525551,3.997550743429674,3.523852865646132,7.2083330154418945,-11.849702685128038,-11.849702685128038,-12.329702685128039
COHR,2000-08-25,2000-08-28,2000-08-29,1,enter_or_hold,portfolio_guard_crisis,6,69.75467419419614,227.48832624950884,7.125,6.6875,1620.8543245277506,1521.3281817935904,3.890050378866601,3.6511876363046167,7.125,-6.140350877192979,-6.140350877192979,-6.62035087719298
DGX,2000-08-25,2000-08-28,2000-08-29,1,enter_or_hold,portfolio_guard_crisis,1,138.93735754146036,51.66069560247811,31.375,30.0,1620.8543245277506,1549.8208680743433,3.890050378866601,3.7195700833784233,31.375,-4.3824701195219085,-4.3824701195219085,-4.862470119521909
GLW,2000-08-25,2000-08-28,2000-08-29,1,enter_or_hold,portfolio_guard_crisis,4,82.44353434223257,15.610153625962218,103.83333587646484,103.20833587646484,1620.8543245277506,1611.0979785115242,3.890050378866601,3.8666351484276578,103.83333587646484,-0.6019261489812799,-0.6019261489812799,-1.08192614898128
IVZ,2000-08-25,2000-08-28,2000-08-29,1,enter_or_hold,portfolio_guard_crisis,5,71.77694889288213,38.59176963161311,42.0,40.72499847412109,1620.8543245277506,1571.6497593610763,3.890050378866601,3.771959422466583,42.0,-3.0357179187593175,-3.0357179187593175,-3.5157179187593175
NVDA,2000-08-25,2000-08-28,2000-08-29,1,enter_or_hold,portfolio_guard_crisis,2,101.62526111228772,4987.244258401031,0.324999988079071,0.3242189884185791,1620.8543245277506,1616.9592884551491,3.890050378866601,3.8807022922923577,0.324999988079071,-0.24030759665808477,-0.24030759665808477,-0.7203075966580847
WAT,2000-08-25,2000-08-28,2000-08-29,1,enter_or_hold,portfolio_guard_crisis,3,84.53338234618388,19.35348447197314,83.75,79.15625,1620.8543245277506,1531.949255234624,3.890050378866601,3.6766782125630972,83.75,-5.485074626865671,-5.485074626865671,-5.965074626865672
