strategy_id,status,stage,run_id,run_dir,report_dir,config_path,completed_at,config_hash,cagr,spy_cagr,excess_cagr,total_return,spy_total_return,final_equity,max_drawdown,max_recovery_days,worst_year,years_win_vs_spy,years_loss_vs_spy,months_win_vs_spy,months_loss_vs_spy,trades,win_rate_gt_1pct,median_trade_net,avg_trade_net,exposure_avg,exposure_min,exposure_max,cash_days,reduced_exposure_days,crisis_mode_days,dd_guard_activation_count,position_stop_count,reentry_count,metric_no_effect,ignored_config_fields,unsupported_features,notes,calmar,balanced_score,2000_2003_return,2000_2003_max_dd,2008_2009_return,2008_2009_max_dd,q4_2018_return,q4_2018_max_dd,2020_crash_return,2020_crash_max_dd,2022_return,2022_max_dd,2025_return,2025_max_dd,2026_ytd_return,2026_ytd_max_dd
HYP_REFINE_AUTO002_TOPN_6_V1,baseline,baseline,HYP_REFINE_AUTO002_TOPN_6_V1_EXT_20260601_230312_000_6bc092ab,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\HYP_REFINE_AUTO002_TOPN_6_V1_EXT_20260601_230312_000_6bc092ab,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028\generated_configs\HYP_REFINE_AUTO002_TOPN_6_V1.json,2026-06-01T23:03:34.662623,6bc092ab923709f6,19.13130964696903,6.802474621020882,12.328835025948148,11963.578192382429,506.0574160210821,1206357.819238243,-51.08187914605078,1958,-44.61046179348143,20,8,182,147,670,65.3731343283582,9.982788942727785,36.5799927423618,58.90550152416896,0.0,100.00000000000003,2831,0,0,0,0,0,False,,,,0.37452243274507846,12.899132754562048,63.169643225753205,-41.48194318605227,-39.32983804583065,-50.95650912074565,-37.70363382929942,-43.25612089144057,-10.992882801124992,-14.142268548509607,-8.652659975400457,-16.983969829072223,1.9261329596899968,-35.043675065114755,42.63978258347048,-7.053680980576882
HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,completed,smoke,DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20_EXT_20260601_230335_001_48117f3c,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20_EXT_20260601_230335_001_48117f3c,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028\generated_configs\HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20.json,2026-06-01T23:03:56.568113,48117f3c68bf2a5f,14.037913866503926,6.802474621020882,7.235439245483044,3546.8989003659276,506.0574160210821,364689.8900365927,-32.64117625890698,1969,-27.63712330611773,19,9,174,155,5819,68.84344389070287,5.7789525904066075,12.409353083483012,44.34858131618281,0.0,100.00000000000003,2831,2680,1962,105,78,27,False,,,,0.43006764692413074,17.752922829579262,29.216065056582895,-32.64117625890698,-25.464174116082937,-31.86490522053781,-23.38672106836379,-24.35664130145264,-7.347254503604339,-10.056343846164584,-7.114693987776888,-11.326526341248933,-0.4512100434830635,-25.109995735258828,43.17605848967858,-5.44160831877697
HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18,completed,smoke,DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18_EXT_20260601_230357_002_7bef04d9,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18_EXT_20260601_230357_002_7bef04d9,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028\generated_configs\HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18.json,2026-06-01T23:04:17.036966,7bef04d993d94e29,13.522211472530522,6.802474621020882,6.71973685150964,3121.3008607021975,506.0574160210821,322130.08607021975,-31.73231196633627,1967,-27.412162372133054,17,11,173,156,5847,69.36890713186249,5.75833849022426,12.90609073874356,43.827267603519445,0.0,100.00000000000003,2832,2828,1946,108,103,26,False,,,,0.42613382494398067,17.951314507287172,24.6269211601263,-31.565479721883783,-25.348084262166136,-31.547608043525532,-23.25538262810397,-24.222312505152775,-7.607103125417602,-10.065583456478478,-9.217707805869779,-13.23447014738186,0.3593143030569568,-24.38958934545108,43.17605848967858,-5.44160831877697
HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C23_E75_CR40_REDD_RECOVERED_DD8_SL22,completed,smoke,DDGRID_LONG_R12_C23_E75_CR40_REDD_RECOVERED_DD8_SL22_EXT_20260601_230417_003_3fddf4d7,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\DDGRID_LONG_R12_C23_E75_CR40_REDD_RECOVERED_DD8_SL22_EXT_20260601_230417_003_3fddf4d7,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028\generated_configs\HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C23_E75_CR40_REDD_RECOVERED_DD8_SL22.json,2026-06-01T23:04:37.238025,3fddf4d73bd4461e,14.215275936175242,6.802474621020882,7.41280131515436,3705.4172393149634,506.0574160210821,380541.7239314964,-34.327584009888604,1972,-28.59340664036657,19,9,175,154,5493,68.12306572000728,5.928135250949564,13.087723573296886,45.199884933646466,0.0,100.00000000000003,2831,2547,1934,68,63,24,False,,,,0.41410650781832786,16.45454621790089,27.58042325895016,-34.327584009888604,-26.842411437209744,-33.090763003281445,-25.45959356906802,-27.17101752090746,-7.346743359240049,-10.064552609524636,-7.685569734963904,-11.880762601267648,-1.2090367643464273,-25.068569397455597,43.176101899171826,-5.441627204204524
HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR45_REDD_RECOVERED_DD8_SL20,completed,smoke,DDGRID_LONG_R12_C22_E75_CR45_REDD_RECOVERED_DD8_SL20_EXT_20260601_230437_004_6c7f8e9d,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\DDGRID_LONG_R12_C22_E75_CR45_REDD_RECOVERED_DD8_SL20_EXT_20260601_230437_004_6c7f8e9d,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028\generated_configs\HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR45_REDD_RECOVERED_DD8_SL20.json,2026-06-01T23:04:55.183618,6c7f8e9d4133924e,14.189268098894425,6.802474621020882,7.386793477873543,3681.7641247463425,506.0574160210821,378176.41247463424,-33.75485686964309,1969,-28.45157889567519,19,9,173,156,5369,68.22499534363942,5.87332176138581,12.854089027472158,45.64705166632888,0.0,100.00000000000003,2831,2602,1921,103,79,27,False,,,,0.4203622653087095,16.94998162642276,29.794070544236305,-33.75485686964309,-26.06357773161546,-33.066811819850194,-23.973568446255854,-25.06472870848082,-7.347706722940728,-10.050399180404735,-7.114693987870457,-11.3265263411085,-0.10196858091575667,-25.339553905064182,43.17606559736598,-5.441611478535835
HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR42_REDD_RECOVERED_DD8_SL20,completed,smoke,DDGRID_LONG_R12_C22_E75_CR42_REDD_RECOVERED_DD8_SL20_EXT_20260601_230455_005_40e3cec4,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\DDGRID_LONG_R12_C22_E75_CR42_REDD_RECOVERED_DD8_SL20_EXT_20260601_230455_005_40e3cec4,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028\generated_configs\HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR42_REDD_RECOVERED_DD8_SL20.json,2026-06-01T23:05:12.947556,40e3cec43ed450c3,14.017197306264052,6.802474621020882,7.21472268524317,3528.8037722971444,506.0574160210821,362880.3772297145,-33.28925951787427,1972,-27.96327438945684,19,9,173,156,5676,68.74559548978154,5.780560622055044,12.643959655659888,44.65105834762881,0.0,100.00000000000003,2831,2698,1944,112,77,28,False,,,,0.4210726675592674,17.208604626231605,29.044512205669815,-33.28925951787427,-25.70283744307904,-32.34678466775358,-23.621460019520647,-24.63987626426394,-7.347437770725906,-10.053821224144166,-7.11469398787049,-11.326526341108512,-0.3117052835850287,-25.201794084752883,43.17606135425422,-5.441609592238795
HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C21_E75_CR40_REDD_RECOVERED_DD8_SL20,completed,smoke,DDGRID_LONG_R12_C21_E75_CR40_REDD_RECOVERED_DD8_SL20_EXT_20260601_230513_006_e677b9ff,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\DDGRID_LONG_R12_C21_E75_CR40_REDD_RECOVERED_DD8_SL20_EXT_20260601_230513_006_e677b9ff,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028\generated_configs\HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C21_E75_CR40_REDD_RECOVERED_DD8_SL20.json,2026-06-01T23:05:30.599039,e677b9ff84e341ee,13.184950328043211,6.802474621020882,6.382475707022329,2869.29894827706,506.0574160210821,296929.894827706,-32.54522222291405,1969,-27.13676000432157,17,11,173,156,5852,68.4894053315106,5.8406392459653205,12.517237381408632,43.86300361588561,0.0,100.00000000000003,2831,2612,2035,106,78,28,False,,,,0.4051270640505908,17.06508634852108,29.384099854804813,-32.54522222291405,-24.94878565109492,-31.393707018078054,-23.38672106836377,-24.35664130145262,-7.346743359240049,-10.064552609524624,-7.114693987870502,-11.32652634110849,-0.44752262921765595,-24.965529355971427,43.17605640873061,-5.441607393680803
HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C23_E75_CR40_REDD_RECOVERED_DD8_SL20,completed,smoke,DDGRID_LONG_R12_C23_E75_CR40_REDD_RECOVERED_DD8_SL20_EXT_20260601_230530_007_00440473,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\DDGRID_LONG_R12_C23_E75_CR40_REDD_RECOVERED_DD8_SL20_EXT_20260601_230530_007_00440473,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028\generated_configs\HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C23_E75_CR40_REDD_RECOVERED_DD8_SL20.json,2026-06-01T23:05:48.798657,004404730acd541a,12.893961404852906,6.802474621020882,6.091486783832024,2667.2316585832764,506.0574160210821,276723.16585832764,-33.76814278346756,2163,-28.401489143173876,17,11,167,162,5623,66.9393562155433,5.415908801261962,11.800547473716405,42.74448490987225,0.0,100.00000000000004,2831,2351,2356,123,78,23,False,,,,0.38183803851853,15.670751433327263,29.535896910697403,-33.76814278346756,-26.251492718457637,-32.58454588069277,-24.95696310824551,-25.928546174141264,-7.34674335924006,-10.064552609524647,-7.114693986963172,-11.326526342469956,-0.4512100434830191,-25.10999573525884,43.1760584896786,-5.441608318776958
HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL18,completed,smoke,DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL18_EXT_20260601_230549_008_5af5297d,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL18_EXT_20260601_230549_008_5af5297d,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028\generated_configs\HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL18.json,2026-06-01T23:06:06.883259,5af5297d816ce639,13.089487193502292,6.802474621020882,6.28701257248141,2801.4899779000584,506.0574160210821,290148.9977900058,-31.732980583750415,1969,-27.413078817665927,17,11,172,157,5768,68.86269070735091,5.612082649365416,12.370586227760734,43.86626965586552,0.0,100.00000000000003,2832,2734,1954,110,103,28,False,,,,0.41248842537675323,17.509094911923277,24.6269211601263,-31.565479721883783,-25.34902676737003,-31.54909172970951,-23.255382628103938,-24.222312505152743,-7.607103125417625,-10.06558345647851,-7.596765272905248,-11.278801175336428,0.18383747530947847,-24.632252998140046,43.1760584896786,-5.44160831877697
HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL22,completed,smoke,DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL22_EXT_20260601_230607_009_4d30a74b,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL22_EXT_20260601_230607_009_4d30a74b,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028,reports\dd_guard_grid_HYP_REFINE_AUTO002_TOPN_6_V1_LONGRUN_20260601_230028\generated_configs\HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL22.json,2026-06-01T23:06:24.932785,4d30a74bea9b9006,12.39946659800717,6.802474621020882,5.5969919769862875,2353.8579876258,506.0574160210821,245385.79876257997,-33.556578191897124,2235,-27.881210636681665,16,12,166,163,5817,67.35430634347603,5.430550036149665,11.488348503894693,42.448901915238565,0.0,100.00000000000003,2831,2356,2413,110,65,22,False,,,,0.3695092666212688,15.320826097961676,29.07824006851103,-33.556578191897124,-26.112751334938235,-32.459002552395845,-23.904937055733487,-25.613431961160394,-7.346754708439541,-10.06434621726957,-7.685569737011344,-11.880762601265015,-1.0450150974098849,-24.912583795317023,43.17610108332295,-5.441626844698899
