2008_2009_max_dd,2008_2009_return,2025_max_dd,2025_return,cagr,calmar,cost_multiplier,dd_guard_activation_count,delayed_execution_count,execution_timing_mode,exposure_avg,final_equity,label,max_drawdown,metric_no_effect,metric_warning,next_open_available,notes,params,position_stop_count,q4_2018_max_dd,q4_2018_return,reentry_count,robust_score,run_dir,run_id,scenario,slippage_bps_per_side,slippage_multiplier,status,strategy_id,strict_next_close_enabled,total_return,trades,variant_kind,worst_year
-31.99270889777919,-25.865985383209832,-23.760234245256573,1.8881051025176232,13.114233439727418,0.40903315485262365,1.0,92,223,strict_next_close,26597.033688791085,291892.2967145918,longrun,-32.06154142798652,False,False,True,,"(11, 22, 0.75, 0.4, 7, 18)",97,-25.270398841087772,-24.31596538994174,34,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_003438_032441,STRICT_EXEC_longrun_strict_base_20260604_003438_032441,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R11_C22_E75_CR40_REDD_DD7_SL18,True,2818.922967145918,5858,strict,-27.799764397632742
-32.17488683565526,-26.118711574279295,-23.829337529036852,1.715275313997311,12.564772132660295,0.38964693793043553,1.0,92,222,strict_next_close,23813.76076852626,255460.44008100167,longrun,-32.246556842963074,False,False,True,,"(11, 22, 0.75, 0.4, 7, 18)",98,-25.331876381480857,-24.383223378472852,32,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip5_20260604_003511_922921,STRICT_EXEC_longrun_strict_slip5_20260604_003511_922921,slip5,5,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R11_C22_E75_CR40_REDD_DD7_SL18,True,2454.6044008100166,6022,strict,-27.947517808372712
-32.35669487809743,-26.370736028599694,-23.898423799527148,1.5426122044833956,11.801531720332449,0.363894839563576,1.0,129,255,strict_next_close,19783.585636885873,212044.59299312544,longrun,-32.43115987708478,False,False,True,,"(11, 22, 0.75, 0.4, 7, 18)",99,-25.393330068873155,-24.450452275232827,27,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip10_20260604_003544_318948,STRICT_EXEC_longrun_strict_slip10_20260604_003544_318948,slip10,10,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R11_C22_E75_CR40_REDD_DD7_SL18,True,2020.4459299312543,6143,strict,-28.09507250827592
-32.1559184721888,-26.791411280647225,-22.66583317412495,2.125785317581963,12.440678317180032,0.3846994149648316,1.0,123,224,strict_next_close,22429.637168194768,247861.03878924288,longrun,-32.33869830115892,False,False,True,,"(12, 21, 0.75, 0.33, 8, 20)",76,-24.37467988440557,-23.435789912958782,25,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_003620_257585,STRICT_EXEC_longrun_strict_base_20260604_003620_257585,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C21_E75_CR33_REDD_DD8_SL20,True,2378.6103878924287,5876,strict,-28.472965717647025
-32.324096511290435,-27.016162134171072,-22.723761071687886,1.943156505411281,12.082959016540617,0.371689443802081,1.0,125,228,strict_next_close,20848.20485445623,227153.7952943221,longrun,-32.508211406118406,False,False,True,,"(12, 21, 0.75, 0.33, 8, 20)",76,-24.4313453320669,-23.499167031055535,27,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip5_20260604_003659_043755,STRICT_EXEC_longrun_strict_slip5_20260604_003659_043755,slip5,5,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C21_E75_CR33_REDD_DD8_SL20,True,2171.5379529432207,6221,strict,-28.612968798136418
-32.49196093092678,-27.23990407421154,-22.781672436371192,1.7607190440945386,11.611156740821738,0.3553343552680379,1.0,124,226,strict_next_close,19341.75736409514,202377.93207153928,longrun,-32.67670735654913,False,False,True,,"(12, 21, 0.75, 0.33, 8, 20)",76,-24.487991488193384,-23.56251853776371,26,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip10_20260604_003738_080468,STRICT_EXEC_longrun_strict_slip10_20260604_003738_080468,slip10,10,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C21_E75_CR33_REDD_DD8_SL20,True,1923.7793207153927,6405,strict,-28.752349673357003
-31.992708897779178,-25.865985383209754,-23.760234245256562,1.8881051025176454,13.965305336657853,0.43557810119720425,1.0,87,209,strict_next_close,30447.238339002575,358385.70209381595,longrun,-32.061541427986484,False,False,True,,"(12, 22, 0.75, 0.4, 7, 18)",97,-25.27039884108776,-24.315965389941717,25,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_003813_631112,STRICT_EXEC_longrun_strict_base_20260604_003813_631112,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E75_CR40_REDD_DD7_SL18,True,3483.857020938159,5527,strict,-27.7997643976328
-32.174657674680695,-26.118477808208695,-23.829337529036852,1.7152753139973331,13.32103745189508,0.41310171343135593,1.0,87,210,strict_next_close,27223.971960832016,306860.929936248,longrun,-32.24638634695134,False,False,True,,"(12, 22, 0.75, 0.4, 7, 18)",98,-25.33187638148082,-24.383223378472827,25,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip5_20260604_003851_687329,STRICT_EXEC_longrun_strict_slip5_20260604_003851_687329,slip5,5,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E75_CR40_REDD_DD7_SL18,True,2968.60929936248,5721,strict,-27.947289828785415
-32.356311826685655,-26.370338347378585,-23.898423799527112,1.5426122044835067,11.939755315547762,0.36816000147153255,1.0,129,251,strict_next_close,20129.029974242127,219340.33450312255,longrun,-32.430886755282096,False,False,True,,"(12, 22, 0.75, 0.4, 7, 18)",99,-25.393330068873166,-24.450452275232838,23,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip10_20260604_003919_931190,STRICT_EXEC_longrun_strict_slip10_20260604_003919_931190,slip10,10,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E75_CR40_REDD_DD7_SL18,True,2093.4033450312254,6058,strict,-28.094684140420213
-32.430574389731504,-26.141547973150658,-22.769402588501453,2.215418819144066,14.524599626083745,0.4469246746852608,1.0,81,181,strict_next_close,33476.59344147803,409789.44811204576,longrun,-32.49898796998051,False,False,True,,"(12, 22, 0.75, 0.4, 7, 20)",75,-25.39597392501427,-24.257925474775742,25,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_003946_341158,STRICT_EXEC_longrun_strict_base_20260604_003946_341158,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E75_CR40_REDD_DD7_SL20,True,3997.894481120458,5588,strict,-28.157035409748453
