ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct
CCI;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;12;58,673501194505874;6,520158109058638;30,674102783203125;30,43161964416504;200,0;198,41897159469082;0,48;0,47620553182725794;30,674102783203125;-0,7905142026545797;-0,7905142026545797;-1,2705142026545797
AMAT;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;10;61,32464582461594;0,7059150638251472;34,3125;44,21875;24,221710627500364;31,21468172851823;0,05813210550600087;0,07491523614844374;34,3125;28,870673952641155;28,870673952641155;28,390673952641155
COHR;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;7;75,12888685060497;13,804807255485482;2,875;4,0625;39,68882085952076;56,08202947540977;0,09525317006284982;0,13459687074098342;2,875;41,30434782608696;41,30434782608696;40,824347826086964
CTSH;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;3;119,76043929611296;26,837965190938686;1,5677080154418943;2,2486979961395264;42,074093147985124;60,35047854532618;0,1009778235551643;0,14484114850878282;1,5677080154418943;43,43857236104513;43,43857236104513;42,958572361045135
GEN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;14;52,88784994892983;6,071285653491016;6,257812976837158;8,75;37,99297014850134;53,123749468046384;0,09118312835640321;0,1274969987233113;6,257812976837158;39,82520782240524;39,82520782240524;39,34520782240524
GLW;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;4;94,55641765622812;0,10909388500168128;51,41666793823242;59,91666793823242;5,609244059223161;6,536542081737451;0,013462185742135585;0,01568770099616988;51,41666793823242;16,531604129250788;16,531604129250788;16,051604129250787
REGN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;15;51,11143239238083;11,223673300412274;12,3125;45,125;138,19147751132616;506,46825768110386;0,33165954602718273;1,215523818434649;12,3125;266,497461928934;266,497461928934;266,017461928934
SWKS;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;5;87,90976201538383;1,732301087781861;41,875;74,421875;72,54010805086544;128,92109501726569;0,17409625932207703;0,3094106280414376;41,875;77,72388059701491;77,72388059701491;77,24388059701491
TECH;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;6;78,68751320429965;3,593171551101785;7,796875;10,26953125;28,01550943749673;36,900187530650754;0,06723722264999214;0,08856045007356181;7,796875;31,713426853707418;31,713426853707418;31,233426853707417
TER;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;9;67,01360066406998;0,4218224715637763;64,75;84,9375;27,31300503375451;35,82854617844825;0,06555121208101082;0,08598851082827579;64,75;31,177606177606187;31,177606177606187;30,697606177606186
VRSN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;1;158,38478823240618;0,3187431290408677;161,375;246,0625;51,437172448970024;78,43073118961851;0,12344921387752805;0,18823375485508442;161,375;52,478698683191325;52,478698683191325;51,99869868319133
BIIB;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;5;134,9648636374304;5,089414855604878;42,22274488974912;31,375;214,88906508630416;159,68039109460304;0,5157337562071299;0,38323293862704727;42,0625;-25,40861812778603;-25,691709333617364;-26,171709333617365
SWKS;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;5;87,90976201538383;3,043818315203213;41,875;46,1875;127,45989194913456;140,58635843344842;0,3059037406779229;0,3374072602402762;41,875;10,298507462686569;10,298507462686569;9,818507462686568
TRMB;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;13;53,8034585647309;63,15788839662569;3,166666984558105;3,84375;200,0;242,76313352453;0,48;0,5826315204588719;3,166666984558105;21,381566762264992;21,381566762264992;20,90156676226499
VRSN;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;1;158,38478823240618;0,9206062125547945;161,375;116,625;148,56282755102998;107,36569953920291;0,35655078612247193;0,25767767889408694;161,375;-27,73044151820294;-27,73044151820294;-28,21044151820294
AAPL;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;11;60,66429588228674;29,32122037205129;0,9263389706611632;1,1902899742126465;27,161389097975118;34,900754640532256;0,06518733383514029;0,0837618111372774;0,9263389706611632;28,49399754423496;28,49399754423496;28,01399754423496
ADBE;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;rebalance_trim;14;88,75772717169075;0,8463755414322525;24,453125;26,390625;20,696526911585547;22,336379523110537;0,04967166458780531;0,05360731085546529;24,453125;7,92332268370608;7,92332268370608;7,44332268370608
AMAT;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;10;61,32464582461594;0,14611965145885636;34,3125;44,625;5,013730540682009;6,520589446351465;0,01203295329763682;0,015649414671243516;34,3125;30,05464480874316;30,05464480874316;29,57464480874316
AMD;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;15;77,04918032786885;4,702384642067416;18,064739552080745;30,4375;84,9473538326523;143,12883254292697;0,2038736491983655;0,3435091981030247;18,0;69,09722222222223;68,4912196616426;68,0112196616426
CTSH;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;3;119,76043929611296;2,0313713094677217;1,5677080154418943;2,25;3,1845970841912443;4,570585446302374;0,007643033002058987;0,010969405071125697;1,5677080154418943;43,521623786926035;43,521623786926035;43,04162378692604
GLW;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;4;94,55641765622812;0,09841983258862748;51,41666793823242;60,3125;5,060419850745885;5,935946153001595;0,012145007641790124;0,014246270767203827;51,41666793823242;17,301455770051575;17,301455770051575;16,821455770051575
NVDA;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;rebalance_trim;7;118,71917784591624;420,57542731299174;0,1265629976987838;0,1622399985790252;53,22928683917918;68,2341567296327;0,12775028841403002;0,16376197615111848;0,1265629976987838;28,18912441150583;28,18912441150583;27,70912441150583
RMD;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;rebalance_trim;13;92,29202941922618;0,39339270521795083;9,25;9,21875;3,6388825232660453;3,6265890012279844;0,008733318055838508;0,008703813602947162;9,25;-0,33783783783783994;-0,33783783783783994;-0,8178378378378399
AAPL;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;left_top_n;11;60,66429588228674;186,58246751582027;0,9263389706611632;1,1099330186843872;172,83861090202487;207,094041403416;0,4148126661648597;0,4970256993681984;0,9263389706611632;19,81931602123852;19,81931602123852;19,33931602123852
GEN;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;left_top_n;13;79,13561268281994;28,7997850496289;6,404691871296067;7,726562976837158;184,4537492024322;222,52335290533094;0,4426889980858373;0,5340560469727942;6,257812976837158;23,470659884475165;20,63910539498903;20,15910539498903
ADBE;2000-02-25;2000-02-28;2000-05-01;63;enter_or_hold;rebalance_trim;14;88,75772717169075;1,2767111981880268;24,453125;32,671875;31,21957851819159;41,71254867829944;0,0749269884436598;0,10011011682791865;24,453125;33,61022364217252;33,61022364217252;33,130223642172524
AMAT;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;rebalance_trim;10;61,32464582461594;0,30915120147650516;34,3125;49,96875;10,607750600662584;15,447899098779118;0,0254586014415902;0,03707495783706988;34,3125;45,62841530054644;45,62841530054644;45,148415300546446
AMD;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;rebalance_trim;15;77,04918032786885;2,0182246885864665;18,064739552080745;44,1875;36,45870335689379;89,18030342691449;0,0875008880565451;0,21403272822459476;18,0;145,48611111111111;144,60634969359614;144,12634969359615
APH;2000-03-31;2000-04-03;2000-05-01;28;enter_or_hold;rebalance_trim;10;81,94492630524582;16,375229115071175;1,573241949081421;1,8691409826278689;25,762197369649407;30,607611838900624;0,06182927368715857;0,07345826841336149;1,573241949081421;18,808234405344738;18,808234405344738;18,328234405344737
COHR;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;rebalance_trim;5;110,24770679459594;15,248217454568302;2,9087828507962645;5,484375;44,35375343706054;83,62694260239803;0,1064490082489453;0,20070466224575526;2,875;90,76086956521738;88,54535664285426;88,06535664285425
GLW;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;rebalance_trim;4;94,55641765622812;0,1749999731573997;51,41666793823242;66,5;8,997915509033609;11,637498214967081;0,02159499722168066;0,027929995715920992;51,41666793823242;29,33549112884444;29,33549112884444;28,855491128844438
NVDA;2000-02-25;2000-02-28;2000-05-01;63;enter_or_hold;rebalance_trim;7;118,71917784591624;152,0109687559211;0,1265629976987838;0,1916670054197311;19,238963888845536;29,13548717239971;0,046173513333229284;0,0699251692137593;0,1265629976987838;51,44000134691258;51,44000134691258;50,960001346912584
PWR;2000-03-31;2000-04-03;2000-05-01;28;enter_or_hold;rebalance_trim;11;81,46923043466434;0,599343841859756;42,0;49,75;25,172441358109747;29,81735613252286;0,060413859259463396;0,07156165471805485;42,0;18,452380952380953;18,452380952380953;17,972380952380952
