ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct
BIIB;2000-01-28;2000-01-31;2000-02-02;2;enter_or_hold;stop_loss;2;153,55606905794312;7,9247152055473;42,0625;35,33333206176758;333,3333333333333;280,00659385254147;0,7999999999999999;0,6720158252460995;44,3125;-20,26328448684327;-15,998021844237552;-16,478021844237553
CCI;2000-01-28;2000-01-31;2000-02-23;23;enter_or_hold;trailing_stop;12;58,673501194505874;10,866930181764397;30,674102783203125;30,85596466064453;333,3333333333333;335,3096136582137;0,7999999999999999;0,8047430727797129;38,736663818359375;-20,344289830090535;0,592884097464097;0,112884097464097
AMAT;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;10;61,32464582461594;6,053488761085544;34,3125;44,21875;207,71033311474773;267,6777061542514;0,4985047994753945;0,6424264947702033;47,09375;-6,104844061048443;28,870673952641155;28,390673952641155
AMD;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;8;67,88596943156449;9,941500927990353;18,0;18,875;178,9470167038263;187,6458300158179;0,4294728400891831;0,4503499920379629;22,75;-17,03296703296703;4,861111111111116;4,381111111111116
COHR;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;7;75,12888685060497;76,0918857187456;2,875;4,0625;218,76417144139361;309,123285732404;0,5250340114593447;0,7418958857577695;4,046875;0,38610038610038533;41,30434782608696;40,824347826086964
CTSH;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;3;119,76043929611296;140,63132001651687;1,5677080154418943;2,2486979961395264;220,4688476120676;316,23736751559795;0,5291252342689622;0,758969682037435;2,7083330154418945;-16,971141166234084;43,43857236104513;42,958572361045135
GEN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;14;52,88784994892983;34,764893606110284;6,257812976837158;8,75;217,55220234668008;304,192819053465;0,5221252856320322;0,7300627657283159;8,96875;-2,4390243902439046;39,82520782240524;39,34520782240524
GLW;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;4;94,55641765622812;3,781042591406495;51,41666793823242;59,91666793823242;194,40861138266158;226,54747340961677;0,4665806673183878;0,5437139361830802;64,4375;-7,015840251045713;16,531604129250788;16,051604129250787
REGN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;15;51,11143239238083;23,48514126113154;12,3125;45,125;289,16080177768214;1059,7669994085609;0,6939859242664371;2,543440798580546;45,875;-1,6348773841961872;266,497461928934;266,017461928934
SWKS;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;5;87,90976201538383;5,784881505634787;41,875;74,421875;242,24191304845672;430,5217283021639;0,5813805913162962;1,0332521479251933;74,734375;-0,41814760610495716;77,72388059701491;77,24388059701491
