ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct
BIIB;2000-01-28;2000-01-31;2000-02-02;2;enter_or_hold;stop_loss;2;153,55606905794312;7,9247152055473;42,0625;35,33333206176758;333,3333333333333;280,00659385254147;0,7999999999999999;0,6720158252460995;44,3125;-20,26328448684327;-15,998021844237552;-16,478021844237553
COHR;2000-01-28;2000-01-31;2000-02-11;11;enter_or_hold;stop_loss;7;75,12888685060497;115,94202898550724;2,875;2,507812976837158;333,3333333333333;290,760924850685;0,7999999999999999;0,6978262196416439;2,9375;-14,627643341713759;-12,771722544794494;-13,251722544794495
CCI;2000-01-28;2000-01-31;2000-02-23;23;enter_or_hold;trailing_stop;12;58,673501194505874;10,866930181764397;30,674102783203125;30,85596466064453;333,3333333333333;335,3096136582137;0,7999999999999999;0,8047430727797129;38,736663818359375;-20,344289830090535;0,592884097464097;0,112884097464097
AMAT;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;10;61,32464582461594;6,108051254484108;34,3125;44,21875;209,58250866948597;270,09039140921914;0,5029980208067664;0,6482169393821259;47,09375;-6,104844061048443;28,870673952641155;28,390673952641155
AMD;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;8;67,88596943156449;10,069325312359505;18,0;18,875;181,24785562247106;190,05851527078565;0,4349948534939305;0,4561404366498855;22,75;-17,03296703296703;4,861111111111116;4,381111111111116
CTSH;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;3;119,76043929611296;141,70424544230093;1,5677080154418943;2,2486979961395264;222,1508814020407;318,6500527705657;0,5331621153648977;0,7647601266493577;2,7083330154418945;-16,971141166234084;43,43857236104513;42,958572361045135
GEN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;14;52,88784994892983;35,04062906382088;6,257812976837158;8,75;219,2777032721156;306,6055043084327;0,5262664878530774;0,7358532103402384;8,96875;-2,4390243902439046;39,82520782240524;39,34520782240524
GLW;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;4;94,55641765622812;3,821309938339988;51,41666793823242;59,91666793823242;196,47902418869458;228,9601586645845;0,47154965805286697;0,5495043807950027;64,4375;-7,015840251045713;16,531604129250788;16,051604129250787
REGN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;15;51,11143239238083;23,538607970382905;12,3125;45,125;289,81911063533954;1062,1796846635286;0,6955658655248149;2,5492312431924686;45,875;-1,6348773841961872;266,497461928934;266,017461928934
SWKS;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;5;87,90976201538383;5,81730053908386;41,875;74,421875;243,59946007413663;432,9344135571316;0,584638704177928;1,0390425925371158;74,734375;-0,41814760610495716;77,72388059701491;77,24388059701491
