year;strategy_return_pct;spy_return_pct;excess_return_pct;winner
1999;0,0;19,380238760477518;-19,380238760477518;spy
2000;22,21695252417919;-9,79802320584444;32,014975730023636;strategy
2001;-13,367628747777093;-11,26637317670427;-2,101255571072823;spy
2002;-15,127632183268268;-23,63022220273361;8,502590019465341;strategy
2003;75,1628745480952;22,191719723505443;52,97115482458976;strategy
2004;25,23348479642431;8,66672579224328;16,56675900418103;strategy
2005;19,340026018340485;3,499583522588412;15,840442495752072;strategy
2006;10,364032917047972;11,775847299380949;-1,4118143823329774;spy
2007;24,773541906646535;3,423648414691982;21,349893491954553;strategy
2008;-31,899964066225884;-37,735456824562995;5,835492758337111;strategy
2009;8,735788052444015;19,879521879234098;-11,143733826790083;spy
2010;24,3987213393148;10,959144064481974;13,439577274832827;strategy
2011;-0,3374267896263494;-1,2199945017918434;0,882567712165494;strategy
2012;14,615800375241816;11,694120519301453;2,921679855940363;strategy
2013;19,658608477281135;26,448038839187028;-6,789430361905893;spy
2014;16,478418438105138;12,366059120717686;4,112359317387451;strategy
2015;5,578293260564204;-0,7593815967543827;6,3376748573185875;strategy
2016;15,225730164458827;11,197887786494176;4,027842377964651;strategy
2017;13,730827440270899;18,478058445821468;-4,747231005550569;spy
2018;14,551288769733194;-7,013428438904956;21,56471720863815;strategy
2019;20,28872984979926;28,651368924082753;-8,362639074283493;spy
2020;30,840259552703998;15,086037646519523;15,754221906184474;strategy
2021;16,381642684072894;28,788736259166804;-12,40709357509391;spy
2022;-1,8251249367594258;-19,94515511159379;18,120030174834366;strategy
2023;24,951097043852343;24,812244214345846;0,13885282950649724;strategy
2024;58,19328110135802;23,998735778721247;34,19454532263677;strategy
2025;32,538920641258564;16,639293552326606;15,899627088931958;strategy
2026;22,966335498994805;9,144141765739233;13,822193733255572;strategy
