ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct
AAPL;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;11;60,66429588228674;717,9558655489211;0,9263389706611632;1,011160969734192;665,0704974727321;725,9689492347982;1,5961691939345568;1,7423254781635156;1,0625;-4,831908730899581;9,156691206944267;8,676691206944266
CCI;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;12;58,673501194505874;21,681823985962485;30,674102783203125;30,43161964416504;665,0704974727321;659,8130207325447;1,5961691939345568;1,5835512497581072;38,736663818359375;-21,439750756899546;-0,7905142026545797;-1,2705142026545797
TRMB;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;13;53,8034585647309;210,02224127635571;3,166666984558105;3,75;665,0704974727321;787,583404786334;1,5961691939345568;1,8902001714872014;3,8854169845581055;-3,4852625881931387;18,421040743673167;17,941040743673167
REGN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;15;51,11143239238083;32,731455818528886;12,3125;45,125;403,00604976563693;1477,006943811116;0,9672145194375286;3,5448166651466777;45,875;-1,6348773841961872;266,497461928934;266,017461928934
SWKS;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;5;87,90976201538383;2,9766724817109136;41,875;74,421875;124,6481601716445;221,5295473498294;0,2991555844119468;0,5316709136395905;74,734375;-0,41814760610495716;77,72388059701491;77,24388059701491
VRSN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;1;158,38478823240618;0,21795800013275685;161,375;246,0625;35,17297227142364;53,631290407666484;0,08441513345141673;0,12871509697839956;251,25;-2,0646766169154174;52,478698683191325;51,99869868319133
REGN;2000-01-28;2000-01-31;2000-03-08;37;enter_or_hold;trailing_stop;15;51,11143239238083;21,284422148799607;12,3125;41,75;262,06444770709516;888,6246247123836;0,6289546744970282;2,1326990993097206;56,5;-26,106194690265482;239,08629441624365;238,60629441624366
BIIB;2000-01-28;2000-01-31;2000-03-10;39;enter_or_hold;trailing_stop;5;134,9648636374304;21,562021466645916;42,712575313869564;43,10416793823242;920,9694658133859;929,4129943860781;2,210326717952126;2,2305911865265875;57,10416793823242;-24,51659923517896;0,9168087418875537;0,4368087418875537
COHR;2000-01-28;2000-01-31;2000-03-10;39;enter_or_hold;trailing_stop;8;107,93725101240126;236,3387016078477;2,9001722487854162;5,859375;685,4229437170571;1384,7970797334826;1,645015064920937;3,323512991360358;8,9375;-34,44055944055944;102,0354136708221;101,55541367082209
TECH;2000-01-28;2000-01-31;2000-03-14;43;enter_or_hold;trailing_stop;10;103,21167206699435;93,47647597728977;8,013170560997931;8,203125;749,0429454470486;766,7992170012051;1,7977030690729165;1,840318120802892;11,125;-26,26404494382022;2,3705278398368668;1,8905278398368668
NVDA;2000-02-25;2000-02-28;2000-03-14;15;enter_or_hold;trailing_stop;7;118,71917784591624;7566,78202269273;0,1265629976987838;0,2294269949197769;957,6746157252585;1736,024060679384;2,29841907774062;4,166457745630521;0,3109380006790161;-26,21455260574076;81,27493745510546;80,79493745510545
RMD;2000-02-25;2000-02-28;2000-03-14;15;enter_or_hold;trailing_stop;13;92,29202941922618;103,53239088921714;9,25;7,5;957,6746157252585;776,4929316691286;2,29841907774062;1,8635830360059085;9,882813453674316;-24,11067925994711;-18,918918918918916;-19,398918918918916
CTSH;2000-01-28;2000-01-31;2000-03-16;45;enter_or_hold;trailing_stop;4;143,58055886934017;426,9861945155186;1,572102047587949;2,041666984558105;671,2658706896331;871,7636162044394;1,611038089655119;2,0922326788906545;2,734375;-25,333321707589306;29,86860412087129;29,38860412087129
SWKS;2000-01-28;2000-01-31;2000-03-20;49;enter_or_hold;trailing_stop;5;87,90976201538383;12,905608054951346;41,875;48,8125;540,4223373010876;629,9549931823126;1,29701360952261;1,5118919836375502;74,734375;-34,68534392640602;16,567164179104488;16,087164179104487
VRSN;2000-01-28;2000-01-31;2000-03-20;49;enter_or_hold;trailing_stop;1;158,38478823240618;3,9033154156548933;161,375;185,1875;629,8975252013084;722,8452235365905;1,51175406048314;1,734828536487817;253,0;-26,80335968379447;14,756003098373348;14,276003098373348
ADBE;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;rebalance_trim;14;88,75772717169075;1,5613495221343658;24,453125;26,390625;38,17987503344192;41,204989732577246;0,09163170008026059;0,09889197535818538;28,40625;-7,095709570957098;7,92332268370608;7,44332268370608
AMD;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;15;77,04918032786885;18,23125526568621;18,239013292441115;30,4375;332,5201071287379;554,9138321493241;0,798048257108971;1,3317931971583776;30,0;1,4583333333333393;66,88128635014682;66,40128635014682
GEN;2000-01-28;2000-01-31;2000-04-04;64;enter_or_hold;trailing_stop;13;79,13561268281994;128,63557529952467;6,538215366134197;7,265625;841,0470950548647;934,617851785609;2,0185130281316748;2,2430828442854613;10,101563453674316;-28,07425273008387;11,125507392025447;10,645507392025447
GLW;2000-01-28;2000-01-31;2000-04-05;65;enter_or_hold;trailing_stop;6;96,05479862214868;16,45082840112936;53,24374130716983;55,33333206176758;875,9036516783739;910,2791506108479;2,102168764028097;2,1846699614660348;73,3125;-24,524014237998195;3,9245753647224824;3,4445753647224824
