ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct
AAPL;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;5;146,73714705643044;1538,4768547476883;0,9263389706611632;1,011160969734192;1425,1510660129975;1555,647748360282;3,4203625584311936;3,7335545960646765;0,9263389706611632;9,156691206944267;9,156691206944267;8,676691206944266
GLW;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;4;201,53846153846155;27,717686173772517;51,41666793823242;59,91666793823242;1425,1510660129975;1660,7513984900638;3,4203625584311936;3,985803356376153;51,41666793823242;16,531604129250788;16,531604129250788;16,051604129250787
TRMB;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;7;143,0146289119431;450,0476598779051;3,166666984558105;3,75;1425,1510660129975;1687,6787245421442;3,4203625584311936;4,050428938901145;3,166666984558105;18,421040743673167;18,421040743673167;17,941040743673167
GEN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;6;144,9541013844152;13,883937090200405;6,257812976837158;8,75;86,88308169264683;121,48444953925355;0,20851939606235237;0,2915626788942085;6,257812976837158;39,82520782240524;39,82520782240524;39,34520782240524
SWKS;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;3;228,1250078231098;8,88982961785606;41,875;74,421875;372,2616152477225;661,5977885913815;0,8934278765945338;1,5878346926193154;41,875;77,72388059701491;77,72388059701491;77,24388059701491
VRSN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;1;590,6824146981627;1,2265819026857154;161,375;246,0625;197,9396545459073;301,81580942960386;0,4750551709101775;0,7243579426310492;161,375;52,478698683191325;52,478698683191325;51,99869868319133
BIIB;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;3;534,6320346320346;42,020830601916735;42,534623258769486;31,375;1787,3401986731;1318,4035601351375;4,28961647681544;3,1641685443243297;42,0625;-25,40861812778603;-26,236563072105433;-26,716563072105433
ADBE;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;left_top_n;5;389,4409937888199;76,31074460077502;24,453125;26,390625;1866,0361765658267;2013,8882442298284;4,478486823757984;4,833331786151588;24,453125;7,92332268370608;7,92332268370608;7,44332268370608
TER;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;left_top_n;7;253,64583333333331;21,96952084257044;84,9375;74,125;1866,0361765658267;1628,4907324555338;4,478486823757984;3,908377757893281;84,9375;-12,72994849153789;-12,72994849153789;-13,20994849153789
GEN;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;6;144,9541013844152;31,838140179030813;6,257812976837158;7,710937976837158;199,23712677069955;245,50192421835368;0,47816910424967884;0,5892046181240488;6,257812976837158;23,220972013363728;23,220972013363728;22,740972013363727
GEN;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;left_top_n;6;144,9541013844152;182,01740156915707;6,257812976837158;7,726562976837158;1139,030857549651;1406,3689161043508;2,733674058119162;3,3752853986504414;6,257812976837158;23,470659884475165;23,470659884475165;22,990659884475164
SWKS;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;left_top_n;1;431,4685314685315;30,373090392217172;42,61750112070631;52,5625;1294,4252138296288;1596,485563740915;3,1066205131911095;3,831565352978196;41,875;25,522388059701484;23,33548100609253;22,85548100609253
COHR;2000-03-31;2000-04-03;2000-05-01;28;enter_or_hold;rebalance_trim;3;382,5396825396825;74,31178253542409;3,84375;5,484375;285,6359141205363;407,55368234271646;0,685526193889287;0,9781288376225195;3,84375;42,68292682926828;42,68292682926828;42,202926829268286
NVDA;2000-03-31;2000-04-03;2000-05-01;28;enter_or_hold;rebalance_trim;6;312,12186553069205;333,4417641206597;0,1622399985790252;0,1916670054197311;54,0975913371235;63,90978441087918;0,12983421920909638;0,15338348258611004;0,1622399985790252;18,137948162254425;18,137948162254425;17,657948162254424
VRSN;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;rebalance_trim;7;299,3322203672788;0,3312768488866395;144,92974281303603;136,0;48,01186850905366;45,05365144858297;0,1152284844217288;0,10812876347659911;161,375;-15,724244771494966;-6,161428730716567;-6,641428730716568
REGN;2000-02-25;2000-02-28;2000-05-30;92;enter_or_hold;left_top_n;5;331,13207547169804;53,097848523213855;41,5524107960557;21,0;2206,3436142233213;1115,054818987491;5,295224674135971;2,676131565569978;45,125;-53,46260387811634;-49,46141608228086;-49,94141608228086
TER;2000-04-28;2000-05-01;2000-05-30;29;enter_or_hold;left_top_n;4;366,2251655629139;14,507637275306946;109,3125;84,5625;1585,8660996569906;1226,8020770931437;3,806078639176777;2,9443249850235444;109,3125;-22,64150943396226;-22,64150943396226;-23,12150943396226
AMD;2000-04-28;2000-05-01;2000-05-30;29;enter_or_hold;rebalance_trim;1;430,3030303030303;1,6208105628048426;44,1875;43,0;71,61956674393899;69,69485420060823;0,17188696018545355;0,16726765008145975;44,1875;-2,6874115983026914;-2,6874115983026914;-3,1674115983026914
CTSH;2000-03-31;2000-04-03;2000-05-30;57;enter_or_hold;rebalance_trim;7;308,9135114981544;41,030074894064455;2,2444559956697954;2,171875;92,0901975987637;89,11219391054624;0,22101647423703286;0,21386926538531095;2,25;-3,472222222222221;-3,2337900947857823;-3,7137900947857823
NVDA;2000-03-31;2000-04-03;2000-05-30;57;enter_or_hold;rebalance_trim;6;312,12186553069205;1858,7368240690932;0,1622399985790252;0,2289060056209564;301,5614596957515;425,4760218982385;0,7237475032698036;1,0211424525557724;0,1622399985790252;41,09098103169604;41,09098103169604;40,61098103169604
VRSN;2000-01-28;2000-01-31;2000-05-30;120;enter_or_hold;rebalance_trim;7;299,3322203672788;0,7766332363740175;144,92974281303603;135,0;112,55725520774219;104,84548691049235;0,27013741249858125;0,25162916858518164;161,375;-16,343919442292798;-6,851418225343653;-7,331418225343652
CTSH;2000-03-31;2000-04-03;2000-07-03;91;enter_or_hold;left_top_n;7;308,9135114981544;678,4702139674935;2,2444559956697954;1,40625;1522,7965396227094;954,0987383917877;3,654711695094502;2,2898369721402902;2,25;-37,5;-37,345619485832515;-37,82561948583251
GLW;2000-05-26;2000-05-30;2000-07-03;34;enter_or_hold;left_top_n;7;207,55150889182428;23,826964000634465;61,66666793823242;91,16666412353516;1469,3294770033435;2172,224824129406;3,5263907448080243;5,213339577910574;61,66666793823242;47,83783066542691;47,83783066542691;47,35783066542691
