ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct
AEP;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;7;0,8737926139510028;26,44415496909472;31,4375;33,5;831,3381218409152;885,8791914646731;1,9952114924181963;2,126110059515215;31,4375;6,5606361829025905;6,5606361829025905;6,080636182902591
AXP;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;11;0,8467503311875808;18,1197160590337;45,88030624389648;48,06855773925781;831,3381218409152;870,9886176026184;1,9952114924181963;2,0903726822462843;45,88030624389648;4,769478834183771;4,769478834183771;4,289478834183772
HUM;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;3;0,893713704218623;109,92900784673259;7,5625;8,0;831,3381218409152;879,4320627738607;1,9952114924181963;2,1106369506572653;7,5625;5,785123966942152;5,785123966942152;5,305123966942151
SWKS;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;8;0,8627962167052894;26,470467561103767;31,40625;41,875;831,3381218409152;1108,4508291212203;1,9952114924181963;2,6602819898909287;31,40625;33,33333333333333;33,33333333333333;32,85333333333333
SYY;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;4;0,8867213267161619;43,61118016214637;19,0625;17,78125;831,3381218409152;775,4612972581651;1,9952114924181963;1,8611071134195962;19,0625;-6,721311475409841;-6,721311475409841;-7,201311475409842
URI;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;12;0,8392961066571891;49,818014791964956;16,6875;19,125;831,3381218409152;952,7695328963298;1,9952114924181963;2,286646878951191;16,6875;14,606741573033698;14,606741573033698;14,126741573033698
XEL;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;10;0,84894288079529;43,75463799162711;19,0;19,25;831,3381218409152;842,2767813388219;1,9952114924181963;2,0214642752131726;19,0;1,3157894736842035;1,3157894736842035;0,8357894736842035
DOV;1999-12-31;2000-01-03;2000-02-28;56;enter_or_hold;left_top_n;11;0,8641299249604506;31,37559028355901;29,174317384304086;25,011898040771484;915,361429052438;784,7630651413984;2,196867429725851;1,883431356339356;29,41097640991211;-14,95726734069952;-14,26740954621959;-14,74740954621959
COO;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;6;0,8757331459656171;223,74367962163572;3,78125;3,53125;846,0307885693101;790,0948686639011;2,030473892566344;1,8962276847933626;3,78125;-6,6115702479338845;-6,6115702479338845;-7,091570247933884
ES;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;9;0,871140956764219;41,26979456435659;20,5;18,8125;846,0307885693101;776,3880102419583;2,030473892566344;1,8633312245806999;20,5;-8,231707317073166;-8,231707317073166;-8,711707317073166
RCL;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;12;0,863580475927876;17,113138580415878;49,4375;33,9375;846,0307885693101;580,7771405728639;2,030473892566344;1,3938651373748732;49,4375;-31,35271807838179;-31,35271807838179;-31,83271807838179
AAPL;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;3;0,910374174093482;8,823254448378819;0,9263389706611632;1,011160969734192;8,173324443592763;8,921730524234249;0,019615978664622634;0,021412153258162196;0,9263389706611632;9,156691206944267;9,156691206944267;8,676691206944266
ADBE;1999-12-31;2000-01-03;2000-02-28;56;enter_or_hold;rebalance_trim;1;0,9136054745199446;24,179856956362674;15,92766629950906;24,453125;385,12869277080745;591,273064636056;0,9243088626499378;1,4190553551265344;16,390625;49,189704480457586;53,526100686537625;53,04610068653763
APH;1999-12-31;2000-01-03;2000-02-28;56;enter_or_hold;rebalance_trim;10;0,865461780040982;19,18538775762349;1,0508843686667035;1,171875;20,161624101296066;22,482876278465028;0,04838789784311056;0,053958903068316064;1,050781011581421;11,524188873220421;11,513220192512886;11,033220192512886
GEN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;4;0,9005316457109198;30,67277982726043;6,257812976837158;8,75;191,94451963869932;268,38682348852876;0,46066684713287837;0,644128376372469;6,257812976837158;39,82520782240524;39,82520782240524;39,34520782240524
MCHP;1999-12-31;2000-01-03;2000-02-28;56;enter_or_hold;rebalance_trim;2;0,9129278262557112;13,82650111598503;9,995390582990046;11,847222328186035;138,20127905041815;163,80563274198698;0,3316830697210036;0,3931335185807687;10,064814567565918;17,709295572756645;18,526857253056207;18,046857253056206
ADBE;1999-12-31;2000-01-03;2000-04-03;91;enter_or_hold;left_top_n;1;0,9136054745199446;37,401251777433075;15,92766629950906;26,390625;595,714657494874;987,0424101888198;1,4297151779876975;2,368901784453167;16,390625;61,010486177311726;65,69046904764349;65,21046904764349
MCHP;1999-12-31;2000-01-03;2000-04-03;91;enter_or_hold;left_top_n;2;0,9129278262557112;77,19762991989674;9,995390582990046;12,430556297302246;771,6204631304865;959,6094847375807;1,851889111513168;2,3030627633701934;10,064814567565918;23,505070201292956;24,36288701370326;23,88288701370326
BRK-B;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;3;0,9261470914516186;31,298993600646046;32,25449021282497;35,099998474121094;1009,5330827633092;1098,594627624202;2,422879398631942;2,636627106298085;32,91999816894531;6,622115511635296;8,822053123520446;8,342053123520445
XEL;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;left_top_n;12;0,8595796475320917;50,66307893955822;18,0;19,75;911,9354209120479;1000,5958090562748;2,1886450101889148;2,401429941735059;18,0;9,722222222222232;9,722222222222232;9,242222222222232
YUM;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;left_top_n;11;0,87104554504176;197,52829679727478;4,616733074188232;5,44796895980835;911,9354209120479;1076,128029635364;2,1886450101889148;2,5827072711248737;4,616733074188232;18,004850448631892;18,004850448631892;17,52485044863189
AAPL;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;3;0,910374174093482;30,38964238996221;0,9263389706611632;1,1902899742126465;28,15111005027845;36,172486656679666;0,06756266412066828;0,08681396797603119;0,9263389706611632;28,49399754423496;28,49399754423496;28,01399754423496
APH;1999-12-31;2000-01-03;2000-04-03;91;enter_or_hold;rebalance_trim;10;0,865461780040982;119,11456133938883;1,0508843686667035;1,573241949081421;125,17563059215497;187,39602464555855;0,30042151342117196;0,4497504591493405;1,050781011581421;49,72120087264411;49,70647542102582;49,226475421025825
EFX;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;9;0,8836125156813024;3,1295130041514243;21,472509260460022;26,0;67,19849696237152;81,36733810793703;0,16127639270969163;0,19528161145904885;21,5;20,93023255813953;21,085056639733324;20,605056639733323
PGR;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;rebalance_trim;6;0,8957506328221113;33,27828887351205;4,7291669845581055;6,520833015441895;157,37858504320053;217,00216478381003;0,37770860410368123;0,520805195481144;4,7291669845581055;37,88544656456456;37,88544656456456;37,40544656456456
APH;1999-12-31;2000-01-03;2000-05-01;119;enter_or_hold;left_top_n;10;0,865461780040982;661,3248924163812;1,0508843686667035;1,8691409826278689;694,9759920505644;1236,1094592474244;1,667942380921355;2,966662702193818;1,050781011581421;77,88111528726806;77,86362023819215;77,38362023819215
