year;strategy_return_pct;spy_return_pct;excess_return_pct;winner
1999;0,0;19,380238760477518;-19,380238760477518;spy
2000;38,80134658052565;-9,79802320584444;48,59936978637009;strategy
2001;12,558745909439706;-11,26637317670427;23,825119086143978;strategy
2002;4,613541281215161;-23,63022220273361;28,24376348394877;strategy
2003;55,603440086968384;22,191719723505443;33,41172036346294;strategy
2004;24,896402526373752;8,66672579224328;16,22967673413047;strategy
2005;22,934977188820405;3,499583522588412;19,43539366623199;strategy
2006;17,608666998585143;11,775847299380949;5,832819699204194;strategy
2007;12,053611505217665;3,423648414691982;8,629963090525683;strategy
2008;-49,26469139773174;-37,735456824562995;-11,529234573168743;spy
2009;71,88814074362466;19,879521879234098;52,00861886439056;strategy
2010;21,24468435061102;10,959144064481974;10,285540286129047;strategy
2011;0,3749900183208643;-1,2199945017918434;1,5949845201127077;strategy
2012;26,28293794858689;11,694120519301453;14,588817429285438;strategy
2013;44,65745035351026;26,448038839187028;18,20941151432323;strategy
2014;4,747640737238323;12,366059120717686;-7,618418383479363;spy
2015;6,528113108268663;-0,7593815967543827;7,287494705023045;strategy
2016;26,00722650634446;11,197887786494176;14,809338719850283;strategy
2017;37,284099329791445;18,478058445821468;18,806040883969978;strategy
2018;-1,9036527533126013;-7,013428438904956;5,109775685592355;strategy
2019;31,418999692579554;28,651368924082753;2,767630768496801;strategy
2020;30,31039634348285;15,086037646519523;15,224358696963327;strategy
2021;15,158531532226505;28,788736259166804;-13,630204726940299;spy
2022;-22,308162986435963;-19,94515511159379;-2,3630078748421717;spy
2023;22,567377707974458;24,812244214345846;-2,2448665063713875;spy
2024;31,85688010508423;23,998735778721247;7,858144326362982;strategy
2025;2,8526681014692024;16,639293552326606;-13,786625450857404;spy
2026;15,424463763889019;9,144141765739233;6,280321998149786;strategy
