ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct
CMCSA;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;15;23,787974882124296;45,53776905868007;14,60481071472168;13,472352027893066;665,0704974727321;613,5008553234346;1,5961691939345568;1,472402052776243;14,60481071472168;-7,754011393568372;-7,754011393568372;-8,234011393568371
CSCO;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;10;33,06936842513879;12,308997061380813;54,03125;54,75;665,0704974727321;673,9175891105995;1,5961691939345568;1,6174022138654385;54,03125;1,330248698669756;1,330248698669756;0,8502486986697559
FCX;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;14;25,697285236147277;62,77951598562663;10,59375;8,71875;665,0704974727321;547,3589049996822;1,5961691939345568;1,3136613719992372;10,59375;-17,699115044247794;-17,699115044247794;-18,179115044247794
FDS;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;11;32,21940262299603;25,255842895716345;26,333332061767575;22,333332061767575;665,0704974727321;564,0471258898667;1,5961691939345568;1,35371310213568;26,333332061767575;-15,189874151199644;-15,189874151199644;-15,669874151199645
GEN;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;9;34,14372073651315;93,54837766649419;7,109375;6,257812976837158;665,0704974727321;585,4082517234507;1,5961691939345568;1,4049798041362815;7,109375;-11,978015270861953;-11,978015270861953;-12,458015270861953
MS;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;13;30,869502936542048;9,85289625885529;67,5;66,25;665,0704974727321;652,754377149163;1,5961691939345568;1,566610505157991;67,5;-1,851851851851849;-1,851851851851849;-2,331851851851849
MSI;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;left_top_n;8;36,23812972017646;3,701089667564126;179,69586181640625;164,0177001953125;665,0704974727321;607,0442154905016;1,5961691939345568;1,4569061171772038;179,69586181640625;-8,724831758848184;-8,724831758848184;-9,204831758848185
AMAT;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;rebalance_trim;7;36,47074665050831;1,597218594173159;31,625;34,3125;50,51203804072615;54,80456301256652;0,12122889129774274;0,13153095123015962;31,625;8,498023715415016;8,498023715415016;8,018023715415016
BIIB;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;rebalance_trim;2;58,61964692917076;5,544156013897971;31,083332061767575;42,0625;172,3308423822363;233,2010623345834;0,4135940217173671;0,5596825496030001;31,083332061767575;35,321721353473464;35,321721353473464;34,84172135347347
COHR;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;rebalance_trim;12;32,12966100570003;53,74307057857783;2,328125;2,875;125,12058619075151;154,51132791341126;0,3002894068578036;0,370827186992187;2,328125;23,48993288590604;23,48993288590604;23,00993288590604
GLW;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;rebalance_trim;4;50,72697232664576;3,4111234401017563;40,60416793823242;51,41666793823242;138,5058290199328;175,38860121603307;0,3324139896478387;0,4209326429184793;40,60416793823242;26,629039699688263;26,629039699688263;26,149039699688263
TECH;1999-12-31;2000-01-03;2000-01-31;28;enter_or_hold;rebalance_trim;6;40,77418440534019;6,017221640850192;7,265625;7,796875;43,71887598430217;46,91552498100384;0,10492530236232521;0,11259725995440921;7,265625;7,311827956989236;7,311827956989236;6,831827956989237
