year;strategy_return_pct;spy_return_pct;excess_return_pct;winner
1999;0,0;19,380238760477518;-19,380238760477518;spy
2000;-7,413014383809802;-9,79802320584444;2,3850088220346386;strategy
2001;9,84692951035424;-11,26637317670427;21,11330268705851;strategy
2002;-15,172967114236858;-23,63022220273361;8,457255088496751;strategy
2003;33,38649636424231;22,191719723505443;11,194776640736869;strategy
2004;18,740060951592795;8,66672579224328;10,073335159349515;strategy
2005;19,9475449285768;3,499583522588412;16,447961405988387;strategy
2006;10,853993461726219;11,775847299380949;-0,9218538376547301;spy
2007;12,134470289734246;3,423648414691982;8,710821875042264;strategy
2008;-41,89203810439663;-37,735456824562995;-4,156581279833638;spy
2009;38,035094759563925;19,879521879234098;18,155572880329828;strategy
2010;21,73302883766519;10,959144064481974;10,773884773183218;strategy
2011;-2,7387554769883304;-1,2199945017918434;-1,518760975196487;spy
2012;24,349542306602512;11,694120519301453;12,655421787301059;strategy
2013;40,509830620186804;26,448038839187028;14,061791780999776;strategy
2014;4,282305158346711;12,366059120717686;-8,083753962370976;spy
2015;1,7962936446209499;-0,7593815967543827;2,5556752413753325;strategy
2016;15,53434262809288;11,197887786494176;4,336454841598703;strategy
2017;37,23889854885969;18,478058445821468;18,76084010303822;strategy
2018;-1,2095248299440309;-7,013428438904956;5,803903608960925;strategy
2019;24,843957725862143;28,651368924082753;-3,80741119822061;spy
2020;15,950911755636387;15,086037646519523;0,8648741091168635;strategy
2021;13,477071638082204;28,788736259166804;-15,3116646210846;spy
2022;-8,16499103816688;-19,94515511159379;11,780164073426912;strategy
2023;14,408601019484024;24,812244214345846;-10,403643194861822;spy
2024;39,601329091572325;23,998735778721247;15,602593312851077;strategy
2025;2,9955978033735953;16,639293552326606;-13,64369574895301;spy
2026;16,42535585057381;9,144141765739233;7,281214084834575;strategy
