ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct
TECH;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;9;139,9752626324644;142,16603820392405;7,796875;10,26953125;1108,4508291212203;1459,978572023892;2,6602819898909287;3,5039485728573405;7,796875;31,713426853707418;31,713426853707418;31,233426853707417
TRMB;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;7;143,0146289119431;350,0370687939262;3,166666984558105;3,75;1108,4508291212203;1312,6390079772232;2,6602819898909287;3,1503336191453353;3,166666984558105;18,421040743673167;18,421040743673167;17,941040743673167
ADBE;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;8;141,0994764397906;18,63889431723362;13,765625;24,453125;256,57602958566906;455,7792126011034;0,6157824710056057;1,093870110242648;13,765625;77,63904653802499;77,63904653802499;77,15904653802498
GEN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;6;144,9541013844152;4,186446152600599;6,257812976837158;8,75;26,19799706057402;36,63140383525524;0,06287519294537765;0,08791536920461257;6,257812976837158;39,82520782240524;39,82520782240524;39,34520782240524
SWKS;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;3;228,1250078231098;6,136899351586539;41,875;74,421875;256,9826603476863;456,7195564313545;0,6167583848344472;1,0961269354352507;41,875;77,72388059701491;77,72388059701491;77,24388059701491
VRSN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;1;590,6824146981627;0,7188788547398175;161,375;246,0625;116,00907518363806;176,88912819441634;0,27842178044073135;0,4245339076665992;161,375;52,478698683191325;52,478698683191325;51,99869868319133
AAPL;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;9;217,05551224928303;1495,4524842204528;0,9432902612533728;1,1902899742126465;1410,6457645323162;1780,0220988790009;3,3855498348775583;4,272053037309601;0,9263389706611632;28,49399754423496;26,184910743282686;25,704910743282685
BIIB;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;3;534,6320346320346;33,97848291830525;42,609563948405196;31,375;1447,808340777321;1066,0749015618271;3,47474001786557;2,558579763748385;42,0625;-25,40861812778603;-26,366296454028102;-26,846296454028103
GLW;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;8;251,0514340303677;25,241124663516576;52,65690017904935;60,3125;1329,119381813733;1522,3553312683434;3,189886516352959;3,653652795044024;51,41666793823242;17,301455770051575;14,538645068204348;14,058645068204347
TER;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;left_top_n;7;253,64583333333331;17,76451643290574;84,9375;74,125;1508,8736145199312;1316,794780589138;3,6212966748478346;3,160307473413931;84,9375;-12,72994849153789;-12,72994849153789;-13,20994849153789
ADBE;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;8;141,0994764397906;14,528625862953332;13,765625;26,390625;199,99561539471694;383,41951691450276;0,47998947694732075;0,9202068405948065;13,765625;91,71396140749148;91,71396140749148;91,23396140749148
GEN;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;6;144,9541013844152;10,870149915851924;6,257812976837158;7,710937976837158;68,02336520358351;83,81905180005583;0,16325607648860044;0,20116572432013397;6,257812976837158;23,220972013363728;23,220972013363728;22,740972013363727
GEN;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;left_top_n;6;144,9541013844152;162,07410969473835;6,257812976837158;7,726562976837158;1014,2294668570629;1252,2758154712096;2,434150720456951;3,005461957130903;6,257812976837158;23,470659884475165;23,470659884475165;22,990659884475164
SWKS;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;left_top_n;1;431,4685314685315;27,038980486676465;42,94445934812513;52,5625;1161,1743983248264;1421,2364118309317;2,7868185559795826;3,4109673883942357;41,875;25,522388059701484;22,396464637980774;21,916464637980773
ADBE;2000-01-28;2000-01-31;2000-05-01;91;enter_or_hold;rebalance_trim;8;141,0994764397906;2,2376649985453314;13,765625;32,671875;30,802857245600574;73,10871112434825;0,0739268573894414;0,17546090669843578;13,765625;137,34392735527808;137,34392735527808;136,8639273552781
AMD;2000-03-31;2000-04-03;2000-05-01;28;enter_or_hold;rebalance_trim;9;277,6;7,595460934593189;30,4375;44,1875;231,18684219668017;335,62443004733655;0,5548484212720324;0,8054986321136076;30,4375;45,17453798767968;45,17453798767968;44,69453798767968
COHR;2000-03-31;2000-04-03;2000-05-01;28;enter_or_hold;rebalance_trim;3;382,5396825396825;55,53314570866813;3,84375;5,484375;213,45552881769314;304,5645959959768;0,5122932691624634;0,7309550303903443;3,84375;42,68292682926828;42,68292682926828;42,202926829268286
REGN;2000-02-25;2000-02-28;2000-05-30;92;enter_or_hold;left_top_n;5;331,13207547169804;49,2185905353735;39,952175569477646;21,0;1966,389770351473;1033,5904012428434;4,719335448843536;2,480616962982824;45,125;-53,46260387811634;-47,43715529713627;-47,91715529713627
