year;strategy_return_pct;spy_return_pct;excess_return_pct;winner
1999;0,0;19,380238760477518;-19,380238760477518;spy
2000;49,17688164676195;-9,79802320584444;58,974904852606386;strategy
2001;-23,755766043643266;-11,26637317670427;-12,489392866938996;spy
2002;-30,419132198544354;-23,63022220273361;-6,788909995810744;spy
2003;80,4946164467492;22,191719723505443;58,30289672324376;strategy
2004;29,6034216517695;8,66672579224328;20,93669585952622;strategy
2005;25,652782295773168;3,499583522588412;22,153198773184755;strategy
2006;10,956366286537111;11,775847299380949;-0,8194810128438377;spy
2007;39,85683513472922;3,423648414691982;36,433186720037234;strategy
2008;-43,52945220494596;-37,735456824562995;-5,793995380382967;spy
2009;6,565730923476942;19,879521879234098;-13,313790955757156;spy
2010;24,026163619018035;10,959144064481974;13,067019554536062;strategy
2011;-11,674100866414905;-1,2199945017918434;-10,454106364623062;spy
2012;20,45854380384291;11,694120519301453;8,764423284541458;strategy
2013;30,758495706385204;26,448038839187028;4,310456867198177;strategy
2014;14,260215884887796;12,366059120717686;1,8941567641701091;strategy
2015;5,151580756963714;-0,7593815967543827;5,910962353718096;strategy
2016;24,717743869814512;11,197887786494176;13,519856083320336;strategy
2017;15,807178602184146;18,478058445821468;-2,670879843637321;spy
2018;16,300586256194904;-7,013428438904956;23,31401469509986;strategy
2019;30,39846549202332;28,651368924082753;1,7470965679405666;strategy
2020;37,53625979884128;15,086037646519523;22,450222152321757;strategy
2021;26,44539586122876;28,788736259166804;-2,343340397938043;spy
2022;-4,116348664778191;-19,94515511159379;15,828806446815602;strategy
2023;43,15255712560082;24,812244214345846;18,340312911254976;strategy
2024;90,58255128574815;23,998735778721247;66,58381550702691;strategy
2025;28,008138852672104;16,639293552326606;11,368845300345498;strategy
2026;27,120664126511418;9,144141765739233;17,976522360772186;strategy
