batch_id,strategy_id,status,run_id,started_at,finished_at,exit_code,log_path
"FULL_HISTORY_RETEST_20260524_ALL","SP500_MOMENTUM_TREND_BASELINE_V1","ok","RETEST_SP500_MOMENTUM_TREND_BASELINE_V1_1999_2026_20260524_160516","2026-05-24T16:05:16.4939902-03:00","2026-05-24T16:09:29.8483613-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\SP500_MOMENTUM_TREND_BASELINE_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","SP500_MOMENTUM_TREND_CONCENTRATION_V1","ok","RETEST_SP500_MOMENTUM_TREND_CONCENTRATION_V1_1999_2026_20260524_160929","2026-05-24T16:09:29.9239689-03:00","2026-05-24T16:14:50.8536758-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\SP500_MOMENTUM_TREND_CONCENTRATION_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_CROSS_SECTIONAL_MOMENTUM_CONCENTRATION_12_V1","ok","RETEST_HYP_CROSS_SECTIONAL_MOMENTUM_CONCENTRATION_12_V1_1999_2026_20260524_161450","2026-05-24T16:14:50.8814410-03:00","2026-05-24T16:19:56.9345765-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_CROSS_SECTIONAL_MOMENTUM_CONCENTRATION_12_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_TACTICAL_ASSET_ALLOCATION_MARKET_FILTER_True_V1","ok","RETEST_HYP_TACTICAL_ASSET_ALLOCATION_MARKET_FILTER_True_V1_1999_2026_20260524_161956","2026-05-24T16:19:56.9544896-03:00","2026-05-24T16:27:29.2180469-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_TACTICAL_ASSET_ALLOCATION_MARKET_FILTER_True_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_CROSS_SECTIONAL_MOMENTUM_EXIT_THRESHOLD_15_V1","ok","RETEST_HYP_CROSS_SECTIONAL_MOMENTUM_EXIT_THRESHOLD_15_V1_1999_2026_20260524_162729","2026-05-24T16:27:29.2338329-03:00","2026-05-24T16:33:42.9719512-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_CROSS_SECTIONAL_MOMENTUM_EXIT_THRESHOLD_15_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_TACTICAL_ASSET_ALLOCATION_MARKET_FILTER_True_V10","ok","RETEST_HYP_TACTICAL_ASSET_ALLOCATION_MARKET_FILTER_True_V10_1999_2026_20260524_163343","2026-05-24T16:33:43.0104984-03:00","2026-05-24T16:39:56.8315396-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_TACTICAL_ASSET_ALLOCATION_MARKET_FILTER_True_V10.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_CROSS_SECTIONAL_MOMENTUM_CONCENTRATION_12_V10","ok","RETEST_HYP_CROSS_SECTIONAL_MOMENTUM_CONCENTRATION_12_V10_1999_2026_20260524_163956","2026-05-24T16:39:56.8516289-03:00","2026-05-24T16:45:03.9348502-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_CROSS_SECTIONAL_MOMENTUM_CONCENTRATION_12_V10.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_TACTICAL_ASSET_ALLOCATION_MARKET_FILTER_True_V2","ok","RETEST_HYP_TACTICAL_ASSET_ALLOCATION_MARKET_FILTER_True_V2_1999_2026_20260524_164503","2026-05-24T16:45:03.9516593-03:00","2026-05-24T16:50:33.0154221-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_TACTICAL_ASSET_ALLOCATION_MARKET_FILTER_True_V2.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_CAN_SLIM_CONCENTRATION_20_V1","ok","RETEST_HYP_CAN_SLIM_CONCENTRATION_20_V1_1999_2026_20260524_165033","2026-05-24T16:50:33.0447991-03:00","2026-05-24T16:55:20.8762653-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_CAN_SLIM_CONCENTRATION_20_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_DARVAS_BOX_EXIT_THRESHOLD_10_V1","ok","RETEST_HYP_DARVAS_BOX_EXIT_THRESHOLD_10_V1_1999_2026_20260524_165520","2026-05-24T16:55:20.8922328-03:00","2026-05-24T16:57:54.4960353-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_DARVAS_BOX_EXIT_THRESHOLD_10_V1.log"
